都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
10,群馬県,グンマケン,1,前橋市,マエバシシ,36.3894669,139.0634134
10,群馬県,グンマケン,2,高崎市,タカサキシ,36.3220692,139.0033576
10,群馬県,グンマケン,3,桐生市,キリュウシ,36.4053581,139.3304143
10,群馬県,グンマケン,4,伊勢崎市,イセサキシ,36.3118354,139.1965435
10,群馬県,グンマケン,5,太田市,オオタシ,36.2909373,139.3760432
10,群馬県,グンマケン,6,沼田市,ヌマタシ,36.6461538,139.0441704
10,群馬県,グンマケン,7,館林市,タテバヤシシ,36.244806,139.5422532
10,群馬県,グンマケン,8,渋川市,シブカワシ,36.489471,139.000443
10,群馬県,グンマケン,9,藤岡市,フジオカシ,36.2585982,139.0745188
10,群馬県,グンマケン,10,富岡市,トミオカシ,36.2598997,138.8901439
10,群馬県,グンマケン,11,安中市,アンナカシ,36.3262928,138.8873823
10,群馬県,グンマケン,12,みどり市,ミドリシ,36.3948318,139.2811456
10,群馬県,グンマケン,13,榛東村,シントウムラ,36.4386334,138.9671283
10,群馬県,グンマケン,14,吉岡町,ヨシオカマチ,36.4473994,139.0098848
10,群馬県,グンマケン,15,上野村,ウエノムラ,36.0833141,138.777408
10,群馬県,グンマケン,16,神流町,カンナマチ,36.1160406,138.9168948
10,群馬県,グンマケン,17,下仁田町,シモニタマチ,36.2125242,138.789091
10,群馬県,グンマケン,18,南牧村,ナンモクムラ,36.1583494,138.7115045
10,群馬県,グンマケン,19,甘楽町,カンラマチ,36.2430024,138.9217044
10,群馬県,グンマケン,20,中之条町,ナカノジヨウマチ,36.589992,138.8409472
10,群馬県,グンマケン,21,長野原町,ナガノハラマチ,36.5523574,138.6376394
10,群馬県,グンマケン,22,嬬恋村,ツマゴイムラ,36.5168949,138.5302234
10,群馬県,グンマケン,23,草津町,クサツマチ,36.6207181,138.5960945
10,群馬県,グンマケン,24,高山村,タカヤマムラ,36.6208536,138.9434993
10,群馬県,グンマケン,25,東吾妻町,ヒガシアガツママチ,36.5710917,138.8258407
10,群馬県,グンマケン,26,片品村,カタシナムラ,36.7723342,139.2253756
10,群馬県,グンマケン,27,川場村,カワバムラ,36.6947504,139.1065164
10,群馬県,グンマケン,28,昭和村,ショウワムラ,36.639756,139.0659203
10,群馬県,グンマケン,29,みなかみ町,ミナカミマチ,36.6786999,138.9990292
10,群馬県,グンマケン,30,玉村町,タマムラマチ,36.3044643,139.1149565
10,群馬県,グンマケン,31,板倉町,イタクラマチ,36.2230153,139.6102838
10,群馬県,グンマケン,32,明和町,メイワマチ,36.2118745,139.5344993
10,群馬県,グンマケン,33,千代田町,チヨダマチ,36.217782,139.4423854
10,群馬県,グンマケン,34,大泉町,オオイズミマチ,36.248156,139.4051519
10,群馬県,グンマケン,35,邑楽町,オウラマチ,36.252493,139.4622808
