都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
11,埼玉県,サイタマケン,1,さいたま市,サイタマシ,35.8616486,139.6454782
11,埼玉県,サイタマケン,2,川越市,カワゴエシ,35.9251335,139.4858042
11,埼玉県,サイタマケン,3,熊谷市,クマガヤシ,36.1471963,139.3889796
11,埼玉県,サイタマケン,4,川口市,カワグチシ,35.8077356,139.7241874
11,埼玉県,サイタマケン,5,行田市,ギヨウダシ,36.13905,139.4559326
11,埼玉県,サイタマケン,6,秩父市,チチブシ,35.9916443,139.0855869
11,埼玉県,サイタマケン,7,所沢市,トコロザワシ,35.799423,139.4687112
11,埼玉県,サイタマケン,8,飯能市,ハンノウシ,35.8551031,139.3286081
11,埼玉県,サイタマケン,9,加須市,カゾシ,36.1313882,139.6017706
11,埼玉県,サイタマケン,10,本庄市,ホンジヨウシ,36.2435479,139.1904765
11,埼玉県,サイタマケン,11,東松山市,ヒガシマツヤマシ,36.0422084,139.399972
11,埼玉県,サイタマケン,12,春日部市,カスカベシ,35.9752624,139.752313
11,埼玉県,サイタマケン,13,狭山市,サヤマシ,35.8528389,139.412183
11,埼玉県,サイタマケン,14,羽生市,ハニユウシ,36.1726709,139.5484587
11,埼玉県,サイタマケン,15,鴻巣市,コウノスシ,36.0659102,139.5221704
11,埼玉県,サイタマケン,16,深谷市,フカヤシ,36.1974815,139.2814476
11,埼玉県,サイタマケン,17,上尾市,アゲオシ,35.9774474,139.5931801
11,埼玉県,サイタマケン,18,草加市,ソウカシ,35.8254078,139.805378
11,埼玉県,サイタマケン,19,越谷市,コシガヤシ,35.889699,139.7914855
11,埼玉県,サイタマケン,20,蕨市,ワラビシ,35.8255916,139.6797571
11,埼玉県,サイタマケン,21,戸田市,トダシ,35.8175849,139.6777785
11,埼玉県,サイタマケン,22,入間市,イルマシ,35.8358,139.3910788
11,埼玉県,サイタマケン,23,朝霞市,アサカシ,35.7971702,139.5936412
11,埼玉県,サイタマケン,24,志木市,シキシ,35.836195,139.5800582
11,埼玉県,サイタマケン,25,和光市,ワコウシ,35.7813326,139.6058063
11,埼玉県,サイタマケン,26,新座市,ニイザシ,35.7931531,139.5657297
11,埼玉県,サイタマケン,27,桶川市,オケガワシ,36.0057661,139.5425834
11,埼玉県,サイタマケン,28,久喜市,クキシ,36.0620291,139.6667767
11,埼玉県,サイタマケン,29,北本市,キタモトシ,36.0268034,139.5301988
11,埼玉県,サイタマケン,30,八潮市,ヤシオシ,35.8226792,139.8392388
11,埼玉県,サイタマケン,31,富士見市,フジミシ,35.8568571,139.5479658
11,埼玉県,サイタマケン,32,三郷市,ミサトシ,35.8302262,139.8723305
11,埼玉県,サイタマケン,33,蓮田市,ハスダシ,35.9943676,139.6621755
11,埼玉県,サイタマケン,34,坂戸市,サカドシ,35.9573572,139.4031395
11,埼玉県,サイタマケン,35,幸手市,サッテシ,36.0780984,139.7258809
11,埼玉県,サイタマケン,36,鶴ヶ島市,ツルガシマシ,35.9345047,139.3931269
11,埼玉県,サイタマケン,37,日高市,ヒダカシ,35.907725,139.3390159
11,埼玉県,サイタマケン,38,吉川市,ヨシカワシ,35.8961471,139.8555545
11,埼玉県,サイタマケン,39,ふじみ野市,フジミノシ,35.8793521,139.5196171
11,埼玉県,サイタマケン,40,白岡市,シラオカシ,36.0191142,139.6768529
11,埼玉県,サイタマケン,41,伊奈町,イナマチ,35.9995841,139.6244708
11,埼玉県,サイタマケン,42,三芳町,ミヨシマチ,35.8283861,139.5264752
11,埼玉県,サイタマケン,43,毛呂山町,モロヤママチ,35.9415618,139.3159588
11,埼玉県,サイタマケン,44,越生町,オゴセマチ,35.96452,139.2942103
11,埼玉県,サイタマケン,45,滑川町,ナメガワマチ,36.0660069,139.3608153
11,埼玉県,サイタマケン,46,嵐山町,ランザンマチ,36.0565356,139.3205509
11,埼玉県,サイタマケン,47,小川町,オガワマチ,36.0566279,139.2619099
11,埼玉県,サイタマケン,48,川島町,カワジママチ,35.9924665,139.4842887
11,埼玉県,サイタマケン,49,吉見町,ヨシミマチ,36.0398693,139.4537596
11,埼玉県,サイタマケン,50,鳩山町,ハトヤママチ,35.9816953,139.3342705
11,埼玉県,サイタマケン,51,ときがわ町,トキガワマチ,36.0086728,139.2970117
11,埼玉県,サイタマケン,52,横瀬町,ヨコゼマチ,35.9872839,139.1000149
11,埼玉県,サイタマケン,53,皆野町,ミナノマチ,36.0708608,139.0986656
11,埼玉県,サイタマケン,54,長瀞町,ナガトロマチ,36.1147677,139.1096114
11,埼玉県,サイタマケン,55,小鹿野町,オガノマチ,36.0172767,139.0086755
11,埼玉県,サイタマケン,56,東秩父村,ヒガシチチブムラ,36.058252,139.1946875
11,埼玉県,サイタマケン,57,美里町,ミサトマチ,36.1771581,139.1815144
11,埼玉県,サイタマケン,58,神川町,カミカワマチ,36.2138888,139.1017711
11,埼玉県,サイタマケン,59,上里町,カミサトマチ,36.2518136,139.1451633
11,埼玉県,サイタマケン,60,寄居町,ヨリイマチ,36.1184155,139.1929538
11,埼玉県,サイタマケン,61,宮代町,ミヤシロマチ,36.022654,139.7229838
11,埼玉県,サイタマケン,62,杉戸町,スギトマチ,36.0258508,139.7367433
11,埼玉県,サイタマケン,63,松伏町,マツブシマチ,35.9256101,139.8152763
