都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
12,千葉県,チバケン,1,千葉市,チバシ,35.6074041,140.1065366
12,千葉県,チバケン,2,銚子市,チョウシシ,35.7340035,140.8267464
12,千葉県,チバケン,3,市川市,イチカワシ,35.7135721,139.9279808
12,千葉県,チバケン,4,船橋市,フナバシシ,35.6945485,139.9827277
12,千葉県,チバケン,5,館山市,タテヤマシ,34.9965461,139.870044
12,千葉県,チバケン,6,木更津市,キサラヅシ,35.3812515,139.9248871
12,千葉県,チバケン,7,松戸市,マツドシ,35.7876663,139.9033248
12,千葉県,チバケン,8,野田市,ノダシ,35.9551753,139.8741905
12,千葉県,チバケン,9,茂原市,モバラシ,35.4285509,140.2881398
12,千葉県,チバケン,10,成田市,ナリタシ,35.7766588,140.3187418
12,千葉県,チバケン,11,佐倉市,サクラシ,35.7235977,140.2239389
12,千葉県,チバケン,12,東金市,トウガネシ,35.5597298,140.3653199
12,千葉県,チバケン,13,旭市,アサヒシ,35.720454,140.6466177
12,千葉県,チバケン,14,習志野市,ナラシノシ,35.6816407,140.0271941
12,千葉県,チバケン,15,柏市,カシワシ,35.8675958,139.9757575
12,千葉県,チバケン,16,勝浦市,カツウラシ,35.1522272,140.3208833
12,千葉県,チバケン,17,市原市,イチハラシ,35.4978821,140.1148672
12,千葉県,チバケン,18,流山市,ナガレヤマシ,35.8563392,139.9029533
12,千葉県,チバケン,19,八千代市,ヤチヨシ,35.7224358,140.0998762
12,千葉県,チバケン,20,我孫子市,アビコシ,35.8641008,140.0282205
12,千葉県,チバケン,21,鴨川市,カモガワシ,35.1133206,140.0990322
12,千葉県,チバケン,22,鎌ケ谷市,カマガヤシ,35.7768605,140.0007716
12,千葉県,チバケン,23,君津市,キミツシ,35.3304451,139.9024787
12,千葉県,チバケン,24,富津市,フッツシ,35.3040598,139.8571263
12,千葉県,チバケン,25,浦安市,ウラヤスシ,35.6531598,139.9019863
12,千葉県,チバケン,26,四街道市,ヨツカイドウシ,35.6697744,140.167948
12,千葉県,チバケン,27,袖ケ浦市,ソデガウラシ,35.4302559,139.9548805
12,千葉県,チバケン,28,八街市,ヤチマタシ,35.6659061,140.318025
12,千葉県,チバケン,29,印西市,インザイシ,35.8326275,140.1456967
12,千葉県,チバケン,30,白井市,シロイシ,35.7913072,140.055628
12,千葉県,チバケン,31,富里市,トミサトシ,35.7267856,140.3430617
12,千葉県,チバケン,32,南房総市,ミナミボウソウシ,35.042651,139.839879
12,千葉県,チバケン,33,匝瑳市,ソウサシ,35.7079052,140.5643284
12,千葉県,チバケン,34,香取市,カトリシ,35.8977688,140.4993404
12,千葉県,チバケン,35,山武市,サンムシ,35.6030314,140.4135919
12,千葉県,チバケン,36,いすみ市,イスミシ,35.2539324,140.3850494
12,千葉県,チバケン,37,大網白里市,オオアミシラサトシ,35.5217735,140.3209903
12,千葉県,チバケン,38,酒々井町,シスイマチ,35.7248318,140.2695083
12,千葉県,チバケン,39,栄町,サカエマチ,35.8408432,140.2439245
12,千葉県,チバケン,40,神崎町,コウザキマチ,35.9015075,140.4051442
12,千葉県,チバケン,41,多古町,タコマチ,35.7355858,140.467738
12,千葉県,チバケン,42,東庄町,トウノショウマチ,35.8372159,140.6684003
12,千葉県,チバケン,43,九十九里町,クジユウクリマチ,35.5348912,140.4396558
12,千葉県,チバケン,44,芝山町,シバヤママチ,35.693119,140.414207
12,千葉県,チバケン,45,横芝光町,ヨコシバヒカリマチ,35.6655925,140.5043503
12,千葉県,チバケン,46,一宮町,イチノミヤマチ,35.3725402,140.368552
12,千葉県,チバケン,47,睦沢町,ムツザワマチ,35.3610828,140.3194357
12,千葉県,チバケン,48,長生村,チョウセイムラ,35.412212,140.3541233
12,千葉県,チバケン,49,白子町,シラコマチ,35.454338,140.3744059
12,千葉県,チバケン,50,長柄町,ナガラマチ,35.4311718,140.2272821
12,千葉県,チバケン,51,長南町,チョウナンマチ,35.3864095,140.2371693
12,千葉県,チバケン,52,大多喜町,オオタキマチ,35.2851872,140.2454217
12,千葉県,チバケン,53,御宿町,オンジユクマチ,35.1916097,140.3485902
12,千葉県,チバケン,54,鋸南町,キヨナンマチ,35.1111452,139.8357167
