都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
13,東京都,トウキョウト,1,千代田区,チヨダク,35.6940309,139.7537719
13,東京都,トウキョウト,2,中央区,チュウオウク,35.6706392,139.7719892
13,東京都,トウキョウト,3,港区,ミナトク,35.6580813,139.7515077
13,東京都,トウキョウト,4,新宿区,シンジュクク,35.6938253,139.7033559
13,東京都,トウキョウト,5,文京区,ブンキョウク,35.7078686,139.7524369
13,東京都,トウキョウト,6,台東区,タイトウク,35.7125736,139.7802043
13,東京都,トウキョウト,7,墨田区,スミダク,35.7107479,139.8016393
13,東京都,トウキョウト,8,江東区,コウトウク,35.6727748,139.8174521
13,東京都,トウキョウト,9,品川区,シナガワク,35.6091973,139.7303364
13,東京都,トウキョウト,10,目黒区,メグロク,35.6414529,139.6980773
13,東京都,トウキョウト,11,大田区,オオタク,35.561407,139.7160626
13,東京都,トウキョウト,12,世田谷区,セタガヤク,35.6465615,139.6532924
13,東京都,トウキョウト,13,渋谷区,シブヤク,35.6619707,139.703795
13,東京都,トウキョウト,14,中野区,ナカノク,35.7075331,139.6637591
13,東京都,トウキョウト,15,杉並区,スギナミク,35.6994705,139.6355204
13,東京都,トウキョウト,16,豊島区,トシマク,35.7262664,139.7168209
13,東京都,トウキョウト,17,北区,キタク,35.7528727,139.7337701
13,東京都,トウキョウト,18,荒川区,アラカワク,35.7359339,139.7834758
13,東京都,トウキョウト,19,板橋区,イタバシク,35.7512311,139.7092786
13,東京都,トウキョウト,20,練馬区,ネリマク,35.7356446,139.6516675
13,東京都,トウキョウト,21,足立区,アダチク,35.775017,139.8044129
13,東京都,トウキョウト,22,葛飾区,カツシカク,35.7432853,139.8472243
13,東京都,トウキョウト,23,江戸川区,エドガワク,35.7067011,139.8681899
13,東京都,トウキョウト,24,八王子市,ハチオウジシ,35.6664381,139.3160068
13,東京都,トウキョウト,25,立川市,タチカワシ,35.7134355,139.4080089
13,東京都,トウキョウト,26,武蔵野市,ムサシノシ,35.7176916,139.5660882
13,東京都,トウキョウト,27,三鷹市,ミタカシ,35.6833484,139.5598366
13,東京都,トウキョウト,28,青梅市,オウメシ,35.788025,139.2757976
13,東京都,トウキョウト,29,府中市,フチュウシ,35.6689919,139.4777247
13,東京都,トウキョウト,30,昭島市,アキシマシ,35.7059102,139.3540161
13,東京都,トウキョウト,31,調布市,チョウフシ,35.6506111,139.5407215
13,東京都,トウキョウト,32,町田市,マチダシ,35.546656,139.4385568
13,東京都,トウキョウト,33,小金井市,コガネイシ,35.6994563,139.5030584
13,東京都,トウキョウト,34,小平市,コダイラシ,35.7286127,139.4775654
13,東京都,トウキョウト,35,日野市,ヒノシ,35.671354,139.3950975
13,東京都,トウキョウト,36,東村山市,ヒガシムラヤマシ,35.754598,139.4685613
13,東京都,トウキョウト,37,国分寺市,コクブンジシ,35.7103719,139.4632065
13,東京都,トウキョウト,38,国立市,クニタチシ,35.6839668,139.4413867
13,東京都,トウキョウト,39,福生市,フッサシ,35.7384892,139.3270235
13,東京都,トウキョウト,40,狛江市,コマエシ,35.6350187,139.5786651
13,東京都,トウキョウト,41,東大和市,ヒガシヤマトシ,35.7453849,139.42665
13,東京都,トウキョウト,42,清瀬市,キヨセシ,35.7860547,139.5261729
13,東京都,トウキョウト,43,東久留米市,ヒガシクルメシ,35.7579968,139.5297652
13,東京都,トウキョウト,44,武蔵村山市,ムサシムラヤマシ,35.754844,139.3874755
13,東京都,トウキョウト,45,多摩市,タマシ,35.63711,139.4465075
13,東京都,トウキョウト,46,稲城市,イナギシ,35.6381042,139.504664
13,東京都,トウキョウト,47,羽村市,ハムラシ,35.7671888,139.3108944
13,東京都,トウキョウト,48,あきる野市,アキルノシ,35.7285903,139.2934663
13,東京都,トウキョウト,49,西東京市,ニシトウキョウシ,35.7256865,139.5382943
13,東京都,トウキョウト,50,瑞穂町,ミズホマチ,35.7719078,139.3540145
13,東京都,トウキョウト,51,日の出町,ヒノデマチ,35.7421193,139.2574277
13,東京都,トウキョウト,52,檜原村,ヒノハラムラ,35.7268216,139.1488603
13,東京都,トウキョウト,53,奥多摩町,オクタママチ,35.8095021,139.0960592
13,東京都,トウキョウト,54,大島町,オオシママチ,34.7501544,139.3554996
13,東京都,トウキョウト,55,利島村,トシマムラ,34.5291416,139.2819004
13,東京都,トウキョウト,56,新島村,ニイジマムラ,34.3770802,139.2568911
13,東京都,トウキョウト,57,神津島村,コウヅシマムラ,34.2055236,139.1344994
13,東京都,トウキョウト,58,三宅村,ミヤケムラ,34.0757574,139.4784335
13,東京都,トウキョウト,59,御蔵島村,ミクラジマムラ,33.8973802,139.5958016
13,東京都,トウキョウト,60,八丈町,ハチジョウマチ,33.1127894,139.788992
13,東京都,トウキョウト,61,青ヶ島村,アオガシマムラ,32.4665329,139.7636109
13,東京都,トウキョウト,62,小笠原村,オガサワラムラ,27.0944288,142.191845
