都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
14,神奈川県,カナガワケン,1,横浜市,ヨコハマシ,35.4436739,139.6379639
14,神奈川県,カナガワケン,2,川崎市,カワサキシ,35.5308325,139.7029125
14,神奈川県,カナガワケン,3,相模原市,サガミハラシ,35.5712568,139.373427
14,神奈川県,カナガワケン,4,横須賀市,ヨコスカシ,35.281498,139.6721655
14,神奈川県,カナガワケン,5,平塚市,ヒラツカシ,35.3352157,139.3494949
14,神奈川県,カナガワケン,6,鎌倉市,カマクラシ,35.3192128,139.5466731
14,神奈川県,カナガワケン,7,藤沢市,フジサワシ,35.3391654,139.49014
14,神奈川県,カナガワケン,8,小田原市,オダワラシ,35.2648307,139.1523086
14,神奈川県,カナガワケン,9,茅ヶ崎市,チガサキシ,35.3338221,139.4036897
14,神奈川県,カナガワケン,10,逗子市,ズシシ,35.2955726,139.5804503
14,神奈川県,カナガワケン,11,三浦市,ミウラシ,35.1441972,139.6207584
14,神奈川県,カナガワケン,12,秦野市,ハダノシ,35.3747429,139.2199154
14,神奈川県,カナガワケン,13,厚木市,アツギシ,35.443094,139.3625403
14,神奈川県,カナガワケン,14,大和市,ヤマトシ,35.4875153,139.4579975
14,神奈川県,カナガワケン,15,伊勢原市,イセハラシ,35.4031334,139.3145107
14,神奈川県,カナガワケン,16,海老名市,エビナシ,35.4464469,139.3907909
14,神奈川県,カナガワケン,17,座間市,ザマシ,35.4886016,139.407563
14,神奈川県,カナガワケン,18,南足柄市,ミナミアシガラシ,35.3206301,139.0997508
14,神奈川県,カナガワケン,19,綾瀬市,アヤセシ,35.4366072,139.4276365
14,神奈川県,カナガワケン,20,葉山町,ハヤママチ,35.2720328,139.5861763
14,神奈川県,カナガワケン,21,寒川町,サムカワマチ,35.3730006,139.3838428
14,神奈川県,カナガワケン,22,大磯町,オオイソマチ,35.3076731,139.311384
14,神奈川県,カナガワケン,23,二宮町,ニノミヤマチ,35.2994519,139.2551726
14,神奈川県,カナガワケン,24,中井町,ナカイマチ,35.3307448,139.2185817
14,神奈川県,カナガワケン,25,大井町,オオイマチ,35.3265519,139.1566418
14,神奈川県,カナガワケン,26,松田町,マツダマチ,35.3481643,139.1394021
14,神奈川県,カナガワケン,27,山北町,ヤマキタマチ,35.3606484,139.0838347
14,神奈川県,カナガワケン,28,開成町,カイセイマチ,35.3363848,139.1235203
14,神奈川県,カナガワケン,29,箱根町,ハコネマチ,35.2323825,139.1069355
14,神奈川県,カナガワケン,30,真鶴町,マナツルマチ,35.1584376,139.1371349
14,神奈川県,カナガワケン,31,湯河原町,ユガワラマチ,35.1478719,139.1083302
14,神奈川県,カナガワケン,32,愛川町,アイカワマチ,35.5288397,139.3216178
14,神奈川県,カナガワケン,33,清川村,キヨカワムラ,35.4823577,139.2763651
