都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
15,新潟県,ニイガタケン,1,新潟市,ニイガタシ,37.9161244,139.0363708
15,新潟県,ニイガタケン,2,長岡市,ナガオカシ,37.4465187,138.8513499
15,新潟県,ニイガタケン,3,三条市,サンジョウシ,37.6365293,138.9616061
15,新潟県,ニイガタケン,4,柏崎市,カシワザキシ,37.371918,138.5590073
15,新潟県,ニイガタケン,5,新発田市,シバタシ,37.9483728,139.3274172
15,新潟県,ニイガタケン,6,小千谷市,オヂヤシ,37.3143204,138.7951216
15,新潟県,ニイガタケン,7,加茂市,カモシ,37.6663153,139.0402073
15,新潟県,ニイガタケン,8,十日町市,トオカマチシ,37.1282799,138.7553633
15,新潟県,ニイガタケン,9,見附市,ミツケシ,37.5324559,138.9140916
15,新潟県,ニイガタケン,10,村上市,ムラカミシ,38.2240045,139.480171
15,新潟県,ニイガタケン,11,燕市,ツバメシ,37.6730962,138.8822389
15,新潟県,ニイガタケン,12,糸魚川市,イトイガワシ,37.0390497,137.862814
15,新潟県,ニイガタケン,13,妙高市,ミョウコウシ,37.0252179,138.2535519
15,新潟県,ニイガタケン,14,五泉市,ゴセンシ,37.7445396,139.182603
15,新潟県,ニイガタケン,15,上越市,ジョウエツシ,37.1478952,138.236135
15,新潟県,ニイガタケン,16,阿賀野市,アガノシ,37.8344484,139.2259354
15,新潟県,ニイガタケン,17,佐渡市,サドシ,38.0183025,138.3681401
15,新潟県,ニイガタケン,18,魚沼市,ウオヌマシ,37.2297462,138.9602582
15,新潟県,ニイガタケン,19,南魚沼市,ミナミウオヌマシ,37.0654976,138.8760377
15,新潟県,ニイガタケン,20,胎内市,タイナイシ,38.0597174,139.4103369
15,新潟県,ニイガタケン,21,聖籠町,セイロウマチ,37.9746027,139.2743981
15,新潟県,ニイガタケン,22,弥彦村,ヤヒコムラ,37.6908517,138.8553927
15,新潟県,ニイガタケン,23,田上町,タガミマチ,37.6986677,139.0579722
15,新潟県,ニイガタケン,24,阿賀町,アガマチ,37.6755895,139.4588127
15,新潟県,ニイガタケン,25,出雲崎町,イズモザキマチ,37.5307394,138.7094055
15,新潟県,ニイガタケン,26,湯沢町,ユザワマチ,36.9340516,138.8173338
15,新潟県,ニイガタケン,27,津南町,ツナンマチ,37.0142594,138.6524856
15,新潟県,ニイガタケン,28,刈羽村,カリワムラ,37.422313,138.6224782
15,新潟県,ニイガタケン,29,関川村,セキカワムラ,38.0894013,139.564965
15,新潟県,ニイガタケン,30,粟島浦村,アワシマウラムラ,38.4682896,139.2545468
