都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
16,富山県,トヤマケン,1,富山市,トヤマシ,36.6958223,137.2137211
16,富山県,トヤマケン,2,高岡市,タカオカシ,36.7541117,137.0257637
16,富山県,トヤマケン,3,魚津市,ウオヅシ,36.8273758,137.4090751
16,富山県,トヤマケン,4,氷見市,ヒミシ,36.8559412,136.972892
16,富山県,トヤマケン,5,滑川市,ナメリカワシ,36.7644132,137.3411988
16,富山県,トヤマケン,6,黒部市,クロベシ,36.8715431,137.4479886
16,富山県,トヤマケン,7,砺波市,トナミシ,36.6474737,136.9622228
16,富山県,トヤマケン,8,小矢部市,オヤベシ,36.6750885,136.8686403
16,富山県,トヤマケン,9,南砺市,ナントシ,36.5122068,136.9006206
16,富山県,トヤマケン,10,射水市,イミズシ,36.7306389,137.0755452
16,富山県,トヤマケン,11,舟橋村,フナハシムラ,36.703544,137.3074521
16,富山県,トヤマケン,12,上市町,カミイチマチ,36.6983914,137.3625478
16,富山県,トヤマケン,13,立山町,タテヤママチ,36.6634662,137.3137323
16,富山県,トヤマケン,14,入善町,ニュウゼンマチ,36.9335684,137.5021084
16,富山県,トヤマケン,15,朝日町,アサヒマチ,36.9461317,137.5597806
