都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
17,石川県,イシカワケン,1,金沢市,カナザワシ,36.5610309,136.6566474
17,石川県,イシカワケン,2,七尾市,ナナオシ,37.0428971,136.9674026
17,石川県,イシカワケン,3,小松市,コマツシ,36.4084209,136.4458532
17,石川県,イシカワケン,4,輪島市,ワジマシ,37.3904768,136.8992582
17,石川県,イシカワケン,5,珠洲市,スズシ,37.4363883,137.260524
17,石川県,イシカワケン,6,加賀市,カガシ,36.3026929,136.314926
17,石川県,イシカワケン,7,羽咋市,ハクイシ,36.8936153,136.7790081
17,石川県,イシカワケン,8,かほく市,カホクシ,36.7198422,136.7067338
17,石川県,イシカワケン,9,白山市,ハクサンシ,36.5144209,136.5655581
17,石川県,イシカワケン,10,能美市,ノミシ,36.4468791,136.5540708
17,石川県,イシカワケン,11,野々市市,ノノイチシ,36.5194096,136.6097306
17,石川県,イシカワケン,12,川北町,カワキタマチ,36.4684966,136.5423287
17,石川県,イシカワケン,13,津幡町,ツバタマチ,36.6690426,136.7286915
17,石川県,イシカワケン,14,内灘町,ウチナダマチ,36.653549,136.6451263
17,石川県,イシカワケン,15,志賀町,シカマチ,37.006482,136.7779323
17,石川県,イシカワケン,16,宝達志水町,ホウダツシミズチョウ,36.8628172,136.7975166
17,石川県,イシカワケン,17,中能登町,ナカノトマチ,36.9886503,136.9016194
17,石川県,イシカワケン,18,穴水町,アナミズマチ,37.2310256,136.9124314
17,石川県,イシカワケン,19,能登町,ノトチョウ,37.3066518,137.1500418
