都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
18,福井県,フクイケン,1,福井市,フクイシ,36.0641386,136.219623
18,福井県,フクイケン,2,敦賀市,ツルガシ,35.6459465,136.0556972
18,福井県,フクイケン,3,小浜市,オバマシ,35.4956278,135.7467206
18,福井県,フクイケン,4,大野市,オオノシ,35.9797721,136.4875337
18,福井県,フクイケン,5,勝山市,カツヤマシ,36.0609258,136.5006393
18,福井県,フクイケン,6,鯖江市,サバエシ,35.9565042,136.1842325
18,福井県,フクイケン,7,あわら市,アワラシ,36.211396,136.2290374
18,福井県,フクイケン,8,越前市,エチゼンシ,35.9034961,136.1687173
18,福井県,フクイケン,9,坂井市,サカイシ,36.1667303,136.2314917
18,福井県,フクイケン,10,永平寺町,エイヘイジチョウ,36.0923343,136.2990788
18,福井県,フクイケン,11,池田町,イケダチョウ,35.8911147,136.3439223
18,福井県,フクイケン,12,南越前町,ミナミエチゼンチョウ,35.8349887,136.1944991
18,福井県,フクイケン,13,越前町,エチゼンチョウ,35.974015,136.1298901
18,福井県,フクイケン,14,美浜町,ミハマチョウ,35.6006207,135.9405049
18,福井県,フクイケン,15,高浜町,タカハマチョウ,35.4878584,135.5459546
18,福井県,フクイケン,16,おおい町,オオイチョウ,35.4821283,135.6173548
18,福井県,フクイケン,17,若狭町,ワカサチョウ,35.5491889,135.9085412
