都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
19,山梨県,ヤマナシケン,1,甲府市,コウフシ,35.662133,138.5683001
19,山梨県,ヤマナシケン,2,富士吉田市,フジヨシダシ,35.4879873,138.8071879
19,山梨県,ヤマナシケン,3,都留市,ツルシ,35.5516369,138.9055266
19,山梨県,ヤマナシケン,4,山梨市,ヤマナシシ,35.6933453,138.6873168
19,山梨県,ヤマナシケン,5,大月市,オオツキシ,35.6104591,138.940185
19,山梨県,ヤマナシケン,6,韮崎市,ニラサキシ,35.7087847,138.4463872
19,山梨県,ヤマナシケン,7,南アルプス市,ミナミアルプスシ,35.6082676,138.4648353
19,山梨県,ヤマナシケン,8,北杜市,ホクトシ,35.7765179,138.4236536
19,山梨県,ヤマナシケン,9,甲斐市,カイシ,35.6608515,138.5162908
19,山梨県,ヤマナシケン,10,笛吹市,フエフキシ,35.6473185,138.6396967
19,山梨県,ヤマナシケン,11,上野原市,ウエノハラシ,35.6302054,139.1086477
19,山梨県,ヤマナシケン,12,甲州市,コウシュウシ,35.7042915,138.7294182
19,山梨県,ヤマナシケン,13,中央市,チュウオウシ,35.599659,138.5172342
19,山梨県,ヤマナシケン,14,市川三郷町,イチカワミサトチョウ,35.565184,138.5024512
19,山梨県,ヤマナシケン,15,早川町,ハヤカワチョウ,35.4127822,138.3629557
19,山梨県,ヤマナシケン,16,身延町,ミノブチョウ,35.4674793,138.4425451
19,山梨県,ヤマナシケン,17,南部町,ナンブチョウ,35.2417198,138.4856384
19,山梨県,ヤマナシケン,18,富士川町,フジカワチョウ,35.5614482,138.4614682
19,山梨県,ヤマナシケン,19,昭和町,ショウワチョウ,35.6279657,138.5351404
19,山梨県,ヤマナシケン,20,道志村,ドウシムラ,35.5281186,139.0335739
19,山梨県,ヤマナシケン,21,西桂町,ニシカツラチョウ,35.5240903,138.8469501
19,山梨県,ヤマナシケン,22,忍野村,オシノムラ,35.4600448,138.8478066
19,山梨県,ヤマナシケン,23,山中湖村,ヤマナカコムラ,35.4106457,138.8611439
19,山梨県,ヤマナシケン,24,鳴沢村,ナルサワムラ,35.4813342,138.7064223
19,山梨県,ヤマナシケン,25,富士河口湖町,フジカワグチコマチ,35.4973138,138.7551994
19,山梨県,ヤマナシケン,26,小菅村,コスゲムラ,35.7599371,138.9401805
19,山梨県,ヤマナシケン,27,丹波山村,タバヤマムラ,35.7896647,138.9222856
