都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
1,北海道,ホッカイドウ,1,札幌市,サッポロシ,43.0617713,141.3544507
1,北海道,ホッカイドウ,2,函館市,ハコダテシ,41.7686961,140.7290599
1,北海道,ホッカイドウ,3,小樽市,オタルシ,43.1902372,140.994172
1,北海道,ホッカイドウ,4,旭川市,アサヒカワシ,43.7708833,142.3650083
1,北海道,ホッカイドウ,5,室蘭市,ムロランシ,42.3151792,140.9737666
1,北海道,ホッカイドウ,6,釧路市,クシロシ,42.9849413,144.3818041
1,北海道,ホッカイドウ,7,帯広市,オビヒロシ,42.9233354,143.197199
1,北海道,ホッカイドウ,8,北見市,キタミシ,43.8039761,143.8957837
1,北海道,ホッカイドウ,9,夕張市,ユウバリシ,43.0567681,141.9739433
1,北海道,ホッカイドウ,10,岩見沢市,イワミザワシ,43.1753202,141.8309669
1,北海道,ホッカイドウ,11,網走市,アバシリシ,44.0206059,144.2734837
1,北海道,ホッカイドウ,12,留萌市,ルモイシ,43.9410074,141.6369432
1,北海道,ホッカイドウ,13,苫小牧市,トマコマイシ,42.6312464,141.6031222
1,北海道,ホッカイドウ,14,稚内市,ワッカナイシ,45.4156307,141.6733641
1,北海道,ホッカイドウ,15,美唄市,ビバイシ,43.3328322,141.8538617
1,北海道,ホッカイドウ,16,芦別市,アシベツシ,43.5183186,142.1894916
1,北海道,ホッカイドウ,17,江別市,エベツシ,43.1037667,141.5362413
1,北海道,ホッカイドウ,18,赤平市,アカビラシ,43.5580562,142.044207
1,北海道,ホッカイドウ,19,紋別市,モンベツシ,44.3564386,143.3543524
1,北海道,ホッカイドウ,20,士別市,シベツシ,44.1786188,142.4001131
1,北海道,ホッカイドウ,21,名寄市,ナヨロシ,44.3560311,142.4631977
1,北海道,ホッカイドウ,22,三笠市,ミカサシ,43.2456519,141.8752815
1,北海道,ホッカイドウ,23,根室市,ネムロシ,43.3301005,145.5828181
1,北海道,ホッカイドウ,24,千歳市,チトセシ,42.8212867,141.6510125
1,北海道,ホッカイドウ,25,滝川市,タキカワシ,43.5578133,141.9103331
1,北海道,ホッカイドウ,26,砂川市,スナガワシ,43.4949797,141.9034416
1,北海道,ホッカイドウ,27,歌志内市,ウタシナイシ,43.5214686,142.0345304
1,北海道,ホッカイドウ,28,深川市,フカガワシ,43.7232882,142.0533179
1,北海道,ホッカイドウ,29,富良野市,フラノシ,43.3420458,142.3831624
1,北海道,ホッカイドウ,30,登別市,ノボリベツシ,42.4127914,141.1066064
1,北海道,ホッカイドウ,31,恵庭市,エニワシ,42.8825193,141.5777013
1,北海道,ホッカイドウ,32,伊達市,ダテシ,42.4718668,140.864685
1,北海道,ホッカイドウ,33,北広島市,キタヒロシマシ,42.9854112,141.563034
1,北海道,ホッカイドウ,34,石狩市,イシカリシ,43.1714217,141.3155371
1,北海道,ホッカイドウ,35,北斗市,ホクトシ,41.823019,140.6526793
1,北海道,ホッカイドウ,36,当別町,トウベツチョウ,43.2237316,141.5170373
1,北海道,ホッカイドウ,37,新篠津村,シンシノツムラ,43.2246525,141.649351
1,北海道,ホッカイドウ,38,松前町,マツマエチョウ,41.4300208,140.1104794
1,北海道,ホッカイドウ,39,福島町,フクシマチョウ,41.4833932,140.2514294
1,北海道,ホッカイドウ,40,知内町,シリウチチョウ,41.5982835,140.4188373
1,北海道,ホッカイドウ,41,木古内町,キコナイチョウ,41.6784048,140.4377189
1,北海道,ホッカイドウ,42,七飯町,ナナエチョウ,41.895745,140.6944896
1,北海道,ホッカイドウ,43,鹿部町,シカベチョウ,42.0385227,140.8159209
1,北海道,ホッカイドウ,44,森町,モリマチ,42.1050411,140.5765667
1,北海道,ホッカイドウ,45,八雲町,ヤクモチョウ,42.2559793,140.2653205
