都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
20,長野県,ナガノケン,1,長野市,ナガノシ,36.6485258,138.1950371
20,長野県,ナガノケン,2,松本市,マツモトシ,36.2380434,137.9719897
20,長野県,ナガノケン,3,上田市,ウエダシ,36.4019126,138.249075
20,長野県,ナガノケン,4,岡谷市,オカヤシ,36.0670021,138.0493709
20,長野県,ナガノケン,5,飯田市,イイダシ,35.51487,137.8217006
20,長野県,ナガノケン,6,諏訪市,スワシ,36.0391525,138.1140545
20,長野県,ナガノケン,7,須坂市,スザカシ,36.6510879,138.3072807
20,長野県,ナガノケン,8,小諸市,コモロシ,36.3271412,138.4258254
20,長野県,ナガノケン,9,伊那市,イナシ,35.8274657,137.9540692
20,長野県,ナガノケン,10,駒ヶ根市,コマガネシ,35.728854,137.9340239
20,長野県,ナガノケン,11,中野市,ナカノシ,36.7419995,138.3693553
20,長野県,ナガノケン,12,大町市,オオマチシ,36.5030082,137.8511234
20,長野県,ナガノケン,13,飯山市,イイヤマシ,36.8517344,138.3654889
20,長野県,ナガノケン,14,茅野市,チノシ,35.9949904,138.1576589
20,長野県,ナガノケン,15,塩尻市,シオジリシ,36.1148135,137.9532361
20,長野県,ナガノケン,16,佐久市,サクシ,36.2487978,138.47685
20,長野県,ナガノケン,17,千曲市,チクマシ,36.5338864,138.119971
20,長野県,ナガノケン,18,東御市,トウミシ,36.359521,138.3305851
20,長野県,ナガノケン,19,安曇野市,アヅミノシ,36.3039786,137.9058007
20,長野県,ナガノケン,20,小海町,コウミマチ,36.0952125,138.4835593
20,長野県,ナガノケン,21,川上村,カワカミムラ,35.9754884,138.5784482
20,長野県,ナガノケン,22,南牧村,ミナミマキムラ,36.0208417,138.4921504
20,長野県,ナガノケン,23,南相木村,ミナミアイキムラ,36.0360336,138.5470723
20,長野県,ナガノケン,24,北相木村,キタアイキムラ,36.0592256,138.5511628
20,長野県,ナガノケン,25,佐久穂町,サクホマチ,36.1610275,138.4835445
20,長野県,ナガノケン,26,軽井沢町,カルイザワマチ,36.3483927,138.5970297
20,長野県,ナガノケン,27,御代田町,ミヨタマチ,36.3212828,138.508717
20,長野県,ナガノケン,28,立科町,タテシナマチ,36.2720773,138.3160771
20,長野県,ナガノケン,29,青木村,アオキムラ,36.3701487,138.1285181
20,長野県,ナガノケン,30,長和町,ナガワマチ,36.2698987,138.2580282
20,長野県,ナガノケン,31,下諏訪町,シモスワマチ,36.0695678,138.0801295
20,長野県,ナガノケン,32,富士見町,フジミマチ,35.9146598,138.2406687
20,長野県,ナガノケン,33,原村,ハラムラ,35.9644513,138.2174935
20,長野県,ナガノケン,34,辰野町,タツノマチ,35.9822077,137.987466
20,長野県,ナガノケン,35,箕輪町,ミノワマチ,35.9150744,137.9819077
20,長野県,ナガノケン,36,飯島町,イイジママチ,35.6766929,137.9196478
20,長野県,ナガノケン,37,南箕輪村,ミナミミノワムラ,35.8729101,137.9750145
20,長野県,ナガノケン,38,中川村,ナカガワムラ,35.6345535,137.946059
20,長野県,ナガノケン,39,宮田村,ミヤダムラ,35.7689509,137.9443451
20,長野県,ナガノケン,40,松川町,マツカワマチ,35.5971748,137.9096363
20,長野県,ナガノケン,41,高森町,タカモリマチ,35.5515159,137.8786036
20,長野県,ナガノケン,42,阿南町,アナンチョウ,35.3235906,137.8161616
20,長野県,ナガノケン,43,阿智村,アチムラ,35.4440944,137.7479129
20,長野県,ナガノケン,44,平谷村,ヒラヤムラ,35.3232905,137.6302506
20,長野県,ナガノケン,45,根羽村,ネバムラ,35.2554936,137.5820416
20,長野県,ナガノケン,46,下條村,シモジョウムラ,35.3974136,137.7860315
20,長野県,ナガノケン,47,売木村,ウルギムラ,35.271067,137.7112747
20,長野県,ナガノケン,48,天龍村,テンリュウムラ,35.2762278,137.8543406
20,長野県,ナガノケン,49,泰阜村,ヤスオカムラ,35.3774269,137.8459895
20,長野県,ナガノケン,50,喬木村,タカギムラ,35.5137849,137.8739109
20,長野県,ナガノケン,51,豊丘村,トヨオカムラ,35.5515418,137.8954052
20,長野県,ナガノケン,52,大鹿村,オオシカムラ,35.5781847,138.034007
20,長野県,ナガノケン,53,上松町,アゲマツマチ,35.784029,137.6941543
20,長野県,ナガノケン,54,南木曽町,ナギソマチ,35.6038071,137.6089611
20,長野県,ナガノケン,55,木祖村,キソムラ,35.9363518,137.7832002
20,長野県,ナガノケン,56,王滝村,オウタキムラ,35.809316,137.5508923
20,長野県,ナガノケン,57,大桑村,オオクワムラ,35.6829149,137.6649313
20,長野県,ナガノケン,58,木曽町,キソマチ,35.8424988,137.6915171
20,長野県,ナガノケン,59,麻績村,オミムラ,36.4560968,138.0452466
20,長野県,ナガノケン,60,生坂村,イクサカムラ,36.42517,137.9274909
20,長野県,ナガノケン,61,山形村,ヤマガタムラ,36.1680917,137.878912
20,長野県,ナガノケン,62,朝日村,アサヒムラ,36.1236042,137.8664475
20,長野県,ナガノケン,63,筑北村,チクホクムラ,36.4025451,138.0117382
20,長野県,ナガノケン,64,池田町,イケダマチ,36.4213315,137.8745251
20,長野県,ナガノケン,65,松川村,マツカワムラ,36.4240441,137.8545079
20,長野県,ナガノケン,66,白馬村,ハクバムラ,36.6981614,137.8619333
20,長野県,ナガノケン,67,小谷村,オタリムラ,36.779238,137.9083847
20,長野県,ナガノケン,68,坂城町,サカキマチ,36.4616691,138.1803458
20,長野県,ナガノケン,69,小布施町,オブセマチ,36.6976499,138.312086
20,長野県,ナガノケン,70,高山村,タカヤマムラ,36.6797803,138.363289
20,長野県,ナガノケン,71,山ノ内町,ヤマノウチマチ,36.7446479,138.4128175
20,長野県,ナガノケン,72,木島平村,キジマダイラムラ,36.8585206,138.4066807
20,長野県,ナガノケン,73,野沢温泉村,ノザワオンセンムラ,36.9228462,138.4405097
20,長野県,ナガノケン,74,信濃町,シナノマチ,36.8064163,138.2071583
20,長野県,ナガノケン,75,小川村,オガワムラ,36.6172441,137.9747017
