都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
21,岐阜県,ギフケン,1,岐阜市,ギフシ,35.4234226,136.7606217
21,岐阜県,ギフケン,2,大垣市,オオガキシ,35.3593013,136.6134417
21,岐阜県,ギフケン,3,高山市,タカヤマシ,36.1461317,137.252159
21,岐阜県,ギフケン,4,多治見市,タジミシ,35.3327697,137.1321388
21,岐阜県,ギフケン,5,関市,セキシ,35.4958382,136.9181807
21,岐阜県,ギフケン,6,中津川市,ナカツガワシ,35.4874734,137.5006287
21,岐阜県,ギフケン,7,美濃市,ミノシ,35.5293805,136.9081114
21,岐阜県,ギフケン,8,瑞浪市,ミズナミシ,35.3617532,137.2546196
21,岐阜県,ギフケン,9,羽島市,ハシマシ,35.3199066,136.7033655
21,岐阜県,ギフケン,10,恵那市,エナシ,35.4492931,137.4128453
21,岐阜県,ギフケン,11,美濃加茂市,ミノカモシ,35.4402296,137.0156528
21,岐阜県,ギフケン,12,土岐市,トキシ,35.3525643,137.1834224
21,岐阜県,ギフケン,13,各務原市,カカミガハラシ,35.3989229,136.8484472
21,岐阜県,ギフケン,14,可児市,カニシ,35.4259465,137.0612494
21,岐阜県,ギフケン,15,山県市,ヤマガタシ,35.5060495,136.781349
21,岐阜県,ギフケン,16,瑞穂市,ミズホシ,35.4040784,136.6498329
21,岐阜県,ギフケン,17,飛騨市,ヒダシ,36.2381492,137.1862369
21,岐阜県,ギフケン,18,本巣市,モトスシ,35.4829752,136.6787829
21,岐阜県,ギフケン,19,郡上市,グジョウシ,35.7484949,136.9643157
21,岐阜県,ギフケン,20,下呂市,ゲロシ,35.8059163,137.2441224
21,岐阜県,ギフケン,21,海津市,カイヅシ,35.220475,136.6366772
21,岐阜県,ギフケン,22,岐南町,ギナンチョウ,35.389746,136.7833212
21,岐阜県,ギフケン,23,笠松町,カサマツチョウ,35.3671929,136.763189
21,岐阜県,ギフケン,24,養老町,ヨウロウチョウ,35.3084375,136.5614837
21,岐阜県,ギフケン,25,垂井町,タルイチョウ,35.3703492,136.5269405
21,岐阜県,ギフケン,26,関ケ原町,セキガハラチョウ,35.365418,136.4670595
21,岐阜県,ギフケン,27,神戸町,ゴウドチョウ,35.4173347,136.6085131
21,岐阜県,ギフケン,28,輪之内町,ワノウチチョウ,35.285042,136.6374728
21,岐阜県,ギフケン,29,安八町,アンパチチョウ,35.3353277,136.6654315
21,岐阜県,ギフケン,30,揖斐川町,イビガワチョウ,35.4873386,136.5687109
21,岐阜県,ギフケン,31,大野町,オオノチョウ,35.4706294,136.6276462
21,岐阜県,ギフケン,32,池田町,イケダチョウ,35.4423273,136.5730531
21,岐阜県,ギフケン,33,北方町,キタガタチョウ,35.4369881,136.6860064
21,岐阜県,ギフケン,34,坂祝町,サカホギチョウ,35.4267699,136.9853947
21,岐阜県,ギフケン,35,富加町,トミカチョウ,35.4848375,136.9796903
21,岐阜県,ギフケン,36,川辺町,カワベチョウ,35.4865789,137.0706791
21,岐阜県,ギフケン,37,七宗町,ヒチソウチョウ,35.5438351,137.1199836
21,岐阜県,ギフケン,38,八百津町,ヤオツチョウ,35.4760063,137.1415504
21,岐阜県,ギフケン,39,白川町,シラカワチョウ,35.5818687,137.1879112
21,岐阜県,ギフケン,40,東白川村,ヒガシシラカワムラ,35.6425782,137.3238175
21,岐阜県,ギフケン,41,御嵩町,ミタケチョウ,35.4344692,137.1309064
21,岐阜県,ギフケン,42,白川村,シラカワムラ,36.2710289,136.8985744
