都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
22,静岡県,シズオカケン,1,静岡市,シズオカシ,34.9755668,138.3826773
22,静岡県,シズオカケン,2,浜松市,ハママツシ,34.7102752,137.7274159
22,静岡県,シズオカケン,3,沼津市,ヌマヅシ,35.0956068,138.8635399
22,静岡県,シズオカケン,4,熱海市,アタミシ,35.0963896,139.071784
22,静岡県,シズオカケン,5,三島市,ミシマシ,35.1184912,138.9184977
22,静岡県,シズオカケン,6,富士宮市,フジノミヤシ,35.2221277,138.6216491
22,静岡県,シズオカケン,7,伊東市,イトウシ,34.9656053,139.1024648
22,静岡県,シズオカケン,8,島田市,シマダシ,34.8361629,138.1759571
22,静岡県,シズオカケン,9,富士市,フジシ,35.161484,138.67622
22,静岡県,シズオカケン,10,磐田市,イワタシ,34.7179085,137.8515047
22,静岡県,シズオカケン,11,焼津市,ヤイヅシ,34.8668816,138.3233812
22,静岡県,シズオカケン,12,掛川市,カケガワシ,34.768823,137.9984128
22,静岡県,シズオカケン,13,藤枝市,フジエダシ,34.8673376,138.2575386
22,静岡県,シズオカケン,14,御殿場市,ゴテンバシ,35.3087683,138.9347872
22,静岡県,シズオカケン,15,袋井市,フクロイシ,34.750198,137.924619
22,静岡県,シズオカケン,16,下田市,シモダシ,34.6796171,138.9451459
22,静岡県,シズオカケン,17,裾野市,スソノシ,35.1739643,138.9066439
22,静岡県,シズオカケン,18,湖西市,コサイシ,34.7184581,137.5316217
22,静岡県,シズオカケン,19,伊豆市,イズシ,34.9766167,138.94655
22,静岡県,シズオカケン,20,御前崎市,オマエザキシ,34.6379987,138.1280864
22,静岡県,シズオカケン,21,菊川市,キクガワシ,34.7561412,138.0861042
22,静岡県,シズオカケン,22,伊豆の国市,イズノクニシ,35.0277325,138.9289713
22,静岡県,シズオカケン,23,牧之原市,マキノハラシ,34.7401028,138.2247608
22,静岡県,シズオカケン,24,東伊豆町,ヒガシイズチョウ,34.7729073,139.0413137
22,静岡県,シズオカケン,25,河津町,カワヅチョウ,34.7569968,138.9876072
22,静岡県,シズオカケン,26,南伊豆町,ミナミイズチョウ,34.6511913,138.8585791
22,静岡県,シズオカケン,27,松崎町,マツザキチョウ,34.7527753,138.7787227
22,静岡県,シズオカケン,28,西伊豆町,ニシイズチョウ,34.7716151,138.7752982
22,静岡県,シズオカケン,29,函南町,カンナミチョウ,35.1058298,138.9908518
22,静岡県,シズオカケン,30,清水町,シミズチョウ,35.0989605,138.9027677
22,静岡県,シズオカケン,31,長泉町,ナガイズミチョウ,35.1376864,138.8971832
22,静岡県,シズオカケン,32,小山町,オヤマチョウ,35.3601103,138.9873289
22,静岡県,シズオカケン,33,吉田町,ヨシダチョウ,34.7709132,138.2520084
22,静岡県,シズオカケン,34,川根本町,カワネホンチョウ,35.0468998,138.0816267
22,静岡県,シズオカケン,35,森町,モリマチ,34.8356351,137.9270369
