都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
23,愛知県,アイチケン,1,名古屋市,ナゴヤシ,35.1814506,136.9065571
23,愛知県,アイチケン,2,豊橋市,トヨハシシ,34.7688528,137.3916837
23,愛知県,アイチケン,3,岡崎市,オカザキシ,34.9548536,137.1730774
23,愛知県,アイチケン,4,一宮市,イチノミヤシ,35.3039172,136.8029671
23,愛知県,アイチケン,5,瀬戸市,セトシ,35.2239326,137.0841304
23,愛知県,アイチケン,6,半田市,ハンダシ,34.8917477,136.9379123
23,愛知県,アイチケン,7,春日井市,カスガイシ,35.2476967,136.9721897
23,愛知県,アイチケン,8,豊川市,トヨカワシ,34.8267523,137.3757774
23,愛知県,アイチケン,9,津島市,ツシマシ,35.1770154,136.7411678
23,愛知県,アイチケン,10,碧南市,ヘキナンシ,34.8850248,136.9935611
23,愛知県,アイチケン,11,刈谷市,カリヤシ,34.9890881,137.0023012
23,愛知県,アイチケン,12,豊田市,トヨタシ,35.0825559,137.1561276
23,愛知県,アイチケン,13,安城市,アンジョウシ,34.9586216,137.0803649
23,愛知県,アイチケン,14,西尾市,ニシオシ,34.8619053,137.0618775
23,愛知県,アイチケン,15,蒲郡市,ガマゴオリシ,34.8259551,137.2197862
23,愛知県,アイチケン,16,犬山市,イヌヤマシ,35.3786468,136.9444802
23,愛知県,アイチケン,17,常滑市,トコナメシ,34.8866414,136.8323482
23,愛知県,アイチケン,18,江南市,コウナンシ,35.331753,136.8697682
23,愛知県,アイチケン,19,小牧市,コマキシ,35.2903378,136.9108701
23,愛知県,アイチケン,20,稲沢市,イナザワシ,35.2481406,136.7802427
23,愛知県,アイチケン,21,新城市,シンシロシ,34.8988996,137.4977958
23,愛知県,アイチケン,22,東海市,トウカイシ,35.0226458,136.9021486
23,愛知県,アイチケン,23,大府市,オオブシ,35.0117491,136.9639005
23,愛知県,アイチケン,24,知多市,チタシ,34.9966379,136.8643747
23,愛知県,アイチケン,25,知立市,チリュウシ,35.0013027,137.0507689
23,愛知県,アイチケン,26,尾張旭市,オワリアサヒシ,35.2165955,137.0354372
23,愛知県,アイチケン,27,高浜市,タカハマシ,34.9279386,136.9882089
23,愛知県,アイチケン,28,岩倉市,イワクラシ,35.2795222,136.8713067
23,愛知県,アイチケン,29,豊明市,トヨアケシ,35.0545485,137.0131269
23,愛知県,アイチケン,30,日進市,ニッシンシ,35.1320356,137.0394989
23,愛知県,アイチケン,31,田原市,タハラシ,34.6686831,137.2642743
23,愛知県,アイチケン,32,愛西市,アイサイシ,35.1528943,136.7283544
23,愛知県,アイチケン,33,清須市,キヨスシ,35.1993711,136.8531524
23,愛知県,アイチケン,34,北名古屋市,キタナゴヤシ,35.2456888,136.8659654
23,愛知県,アイチケン,35,弥富市,ヤトミシ,35.1100935,136.7247508
23,愛知県,アイチケン,36,みよし市,ミヨシシ,35.0894166,137.074937
23,愛知県,アイチケン,37,あま市,アマシ,35.2004877,136.7834025
23,愛知県,アイチケン,38,長久手市,ナガクテシ,35.1840825,137.0487221
23,愛知県,アイチケン,39,東郷町,トウゴウチョウ,35.0966618,137.0524813
23,愛知県,アイチケン,40,豊山町,トヨヤマチョウ,35.2504275,136.9119355
23,愛知県,アイチケン,41,大口町,オオグチチョウ,35.3324692,136.907715
23,愛知県,アイチケン,42,扶桑町,フソウチョウ,35.3590988,136.9132145
23,愛知県,アイチケン,43,大治町,オオハルチョウ,35.175149,136.8200536
23,愛知県,アイチケン,44,蟹江町,カニエチョウ,35.1321068,136.7867399
23,愛知県,アイチケン,45,飛島村,トビシマムラ,35.0783098,136.7925906
23,愛知県,アイチケン,46,阿久比町,アグイチョウ,34.9328576,136.9150744
23,愛知県,アイチケン,47,東浦町,ヒガシウラチョウ,34.9771086,136.9655438
23,愛知県,アイチケン,48,南知多町,ミナミチタチョウ,34.7152126,136.9299921
23,愛知県,アイチケン,49,美浜町,ミハマチョウ,34.7788811,136.9081955
23,愛知県,アイチケン,50,武豊町,タケトヨチョウ,34.8511173,136.9147841
23,愛知県,アイチケン,51,幸田町,コウタチョウ,34.8644762,137.1656831
23,愛知県,アイチケン,52,設楽町,シタラチョウ,35.0971147,137.57138
23,愛知県,アイチケン,53,東栄町,トウエイチョウ,35.0769751,137.6978066
23,愛知県,アイチケン,54,豊根村,トヨネムラ,35.1460858,137.7188631
