都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
24,三重県,ミエケン,1,津市,ツシ,34.7186389,136.5052256
24,三重県,ミエケン,2,四日市市,ヨッカイチシ,34.9651064,136.6244121
24,三重県,ミエケン,3,伊勢市,イセシ,34.4874863,136.7092639
24,三重県,ミエケン,4,松阪市,マツサカシ,34.5779758,136.5276154
24,三重県,ミエケン,5,桑名市,クワナシ,35.0621467,136.683793
24,三重県,ミエケン,6,鈴鹿市,スズカシ,34.8816575,136.5842308
24,三重県,ミエケン,7,名張市,ナバリシ,34.6275071,136.1084508
24,三重県,ミエケン,8,尾鷲市,オワセシ,34.0707921,136.1909177
24,三重県,ミエケン,9,亀山市,カメヤマシ,34.855829,136.4515719
24,三重県,ミエケン,10,鳥羽市,トバシ,34.4818168,136.8432542
24,三重県,ミエケン,11,熊野市,クマノシ,33.8885197,136.1002268
24,三重県,ミエケン,12,いなべ市,イナベシ,35.1157029,136.5614649
24,三重県,ミエケン,13,志摩市,シマシ,34.3281783,136.8296341
24,三重県,ミエケン,14,伊賀市,イガシ,34.7685703,136.1298712
24,三重県,ミエケン,15,木曽岬町,キソサキチョウ,35.0750956,136.7325083
24,三重県,ミエケン,16,東員町,トウインチョウ,35.0742999,136.5837102
24,三重県,ミエケン,17,菰野町,コモノチョウ,35.0199868,136.5073674
24,三重県,ミエケン,18,朝日町,アサヒチョウ,35.0342948,136.6644761
24,三重県,ミエケン,19,川越町,カワゴエチョウ,35.0229594,136.6739022
24,三重県,ミエケン,20,多気町,タキチョウ,34.496245,136.5460801
24,三重県,ミエケン,21,明和町,メイワチョウ,34.5475687,136.6231912
24,三重県,ミエケン,22,大台町,オオダイチョウ,34.3933922,136.4079367
24,三重県,ミエケン,23,玉城町,タマキチョウ,34.4902591,136.6308751
24,三重県,ミエケン,24,度会町,ワタライチョウ,34.4388531,136.6224404
24,三重県,ミエケン,25,大紀町,タイキチョウ,34.3581034,136.4162208
24,三重県,ミエケン,26,南伊勢町,ミナミイセチョウ,34.352102,136.7037883
24,三重県,ミエケン,27,紀北町,キホクチョウ,34.2115448,136.3372636
24,三重県,ミエケン,28,御浜町,ミハマチョウ,33.8262988,136.0479703
24,三重県,ミエケン,29,紀宝町,キホウチョウ,33.7338148,136.0097461
