都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
25,滋賀県,シガケン,1,大津市,オオツシ,35.0178371,135.8552084
25,滋賀県,シガケン,2,彦根市,ヒコネシ,35.2743905,136.2596827
25,滋賀県,シガケン,3,長浜市,ナガハマシ,35.3806116,136.2783094
25,滋賀県,シガケン,4,近江八幡市,オウミハチマンシ,35.1283594,136.0979635
25,滋賀県,シガケン,5,草津市,クサツシ,35.013047,135.9597579
25,滋賀県,シガケン,6,守山市,モリヤマシ,35.0590033,135.9943759
25,滋賀県,シガケン,7,栗東市,リットウシ,35.0214392,135.9979842
25,滋賀県,シガケン,8,甲賀市,コウカシ,34.966081,136.166348
25,滋賀県,シガケン,9,野洲市,ヤスシ,35.0674758,136.02591
25,滋賀県,シガケン,10,湖南市,コナンシ,35.0041128,136.084662
25,滋賀県,シガケン,11,高島市,タカシマシ,35.3530069,136.0357401
25,滋賀県,シガケン,12,東近江市,ヒガシオウミシ,35.112626,136.2075751
25,滋賀県,シガケン,13,米原市,マイバラシ,35.3154598,136.2839538
25,滋賀県,シガケン,14,日野町,ヒノチョウ,35.0180299,136.2459972
25,滋賀県,シガケン,15,竜王町,リユウオウチョウ,35.0607672,136.1244806
25,滋賀県,シガケン,16,愛荘町,アイショウチョウ,35.1688431,136.2122567
25,滋賀県,シガケン,17,豊郷町,トヨサトチョウ,35.2004767,136.2299935
25,滋賀県,シガケン,18,甲良町,コウラチョウ,35.2041976,136.2613601
25,滋賀県,シガケン,19,多賀町,タガチョウ,35.2219996,136.29209
