都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
26,京都府,キョウトフ,1,京都市,キョウトシ,35.011564,135.7681489
26,京都府,キョウトフ,2,福知山市,フクチヤマシ,35.2966988,135.1265486
26,京都府,キョウトフ,3,舞鶴市,マイヅルシ,35.4747759,135.3861501
26,京都府,キョウトフ,4,綾部市,アヤベシ,35.298807,135.2583674
26,京都府,キョウトフ,5,宇治市,ウジシ,34.8845134,135.7997037
26,京都府,キョウトフ,6,宮津市,ミヤヅシ,35.535626,135.1956327
26,京都府,キョウトフ,7,亀岡市,カメオカシ,35.0134498,135.5735249
26,京都府,キョウトフ,8,城陽市,ジョウヨウシ,34.8529803,135.7800588
26,京都府,キョウトフ,9,向日市,ムコウシ,34.9487061,135.6984171
26,京都府,キョウトフ,10,長岡京市,ナガオカキョウシ,34.9268155,135.6955225
26,京都府,キョウトフ,11,八幡市,ヤワタシ,34.8755613,135.7076676
26,京都府,キョウトフ,12,京田辺市,キョウタナベシ,34.8144429,135.7676507
26,京都府,キョウトフ,13,京丹後市,キョウタンゴシ,35.6241985,135.0610621
26,京都府,キョウトフ,14,南丹市,ナンタンシ,35.1073408,135.470236
26,京都府,キョウトフ,15,木津川市,キヅガワシ,34.7371443,135.8200813
26,京都府,キョウトフ,16,大山崎町,オオヤマザキチョウ,34.902774,135.6885636
26,京都府,キョウトフ,17,久御山町,クミヤマチョウ,34.8820762,135.7328026
26,京都府,キョウトフ,18,井手町,イデチョウ,34.7986382,135.802792
26,京都府,キョウトフ,19,宇治田原町,ウジタワラチョウ,34.8526684,135.8568466
26,京都府,キョウトフ,20,笠置町,カサギチョウ,34.760427,135.9393765
26,京都府,キョウトフ,21,和束町,ワヅカチョウ,34.7956895,135.9049299
26,京都府,キョウトフ,22,精華町,セイカチョウ,34.7608669,135.785669
26,京都府,キョウトフ,23,南山城村,ミナミヤマシロムラ,34.7727672,135.9935885
26,京都府,キョウトフ,24,京丹波町,キョウタンバチョウ,35.1643059,135.423044
26,京都府,キョウトフ,25,伊根町,イネチョウ,35.6751496,135.2727148
26,京都府,キョウトフ,26,与謝野町,ヨサノチョウ,35.5653057,135.1529265
