都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
27,大阪府,オオサカフ,1,大阪市,オオサカシ,34.6937249,135.5022535
27,大阪府,オオサカフ,2,堺市,サカイシ,34.5733261,135.4831176
27,大阪府,オオサカフ,3,岸和田市,キシワダシ,34.4607027,135.3706923
27,大阪府,オオサカフ,4,豊中市,トヨナカシ,34.7811075,135.469953
27,大阪府,オオサカフ,5,池田市,イケダシ,34.8215568,135.4283797
27,大阪府,オオサカフ,6,吹田市,スイタシ,34.7593593,135.5164769
27,大阪府,オオサカフ,7,泉大津市,イズミオオツシ,34.5043551,135.4105306
27,大阪府,オオサカフ,8,高槻市,タカツキシ,34.846193,135.6174134
27,大阪府,オオサカフ,9,貝塚市,カイヅカシ,34.4385213,135.3585535
27,大阪府,オオサカフ,10,守口市,モリグチシ,34.7361019,135.5613039
27,大阪府,オオサカフ,11,枚方市,ヒラカタシ,34.8147385,135.6511362
27,大阪府,オオサカフ,12,茨木市,イバラキシ,34.8163589,135.5685016
27,大阪府,オオサカフ,13,八尾市,ヤオシ,34.6268613,135.6007522
27,大阪府,オオサカフ,14,泉佐野市,イズミサノシ,34.4068926,135.3273027
27,大阪府,オオサカフ,15,富田林市,トンダバヤシシ,34.4996203,135.5973146
27,大阪府,オオサカフ,16,寝屋川市,ネヤガワシ,34.7662504,135.6280175
27,大阪府,オオサカフ,17,河内長野市,カワチナガノシ,34.4577405,135.5639385
27,大阪府,オオサカフ,18,松原市,マツバラシ,34.5780574,135.5517138
27,大阪府,オオサカフ,19,大東市,ダイトウシ,34.7120087,135.6234392
27,大阪府,オオサカフ,20,和泉市,イズミシ,34.4832989,135.4237749
27,大阪府,オオサカフ,21,箕面市,ミノオシ,34.8269299,135.4704565
27,大阪府,オオサカフ,22,柏原市,カシワラシ,34.5791141,135.6283141
27,大阪府,オオサカフ,23,羽曳野市,ハビキノシ,34.5581424,135.606125
27,大阪府,オオサカフ,24,門真市,カドマシ,34.739572,135.5868996
27,大阪府,オオサカフ,25,摂津市,セッツシ,34.7773401,135.5617786
27,大阪府,オオサカフ,26,高石市,タカイシシ,34.5207035,135.4424491
27,大阪府,オオサカフ,27,藤井寺市,フジイデラシ,34.5743165,135.597575
27,大阪府,オオサカフ,28,東大阪市,ヒガシオオサカシ,34.6792862,135.600851
27,大阪府,オオサカフ,29,泉南市,センナンシ,34.3661235,135.2725491
27,大阪府,オオサカフ,30,四條畷市,シジヨウナワテシ,34.7400792,135.6401132
27,大阪府,オオサカフ,31,交野市,カタノシ,34.7883551,135.6802475
27,大阪府,オオサカフ,32,大阪狭山市,オオサカサヤマシ,34.5036838,135.5557281
27,大阪府,オオサカフ,33,阪南市,ハンナンシ,34.3596076,135.2394232
27,大阪府,オオサカフ,34,島本町,シマモトチョウ,34.8837537,135.6630918
27,大阪府,オオサカフ,35,豊能町,トヨノチョウ,34.9189661,135.4941009
27,大阪府,オオサカフ,36,能勢町,ノセチョウ,34.9725352,135.4142645
27,大阪府,オオサカフ,37,忠岡町,タダオカチョウ,34.4871534,135.4014013
27,大阪府,オオサカフ,38,熊取町,クマトリチョウ,34.4013512,135.3559607
27,大阪府,オオサカフ,39,田尻町,タジリチョウ,34.3938003,135.291153
27,大阪府,オオサカフ,40,岬町,ミサキチョウ,34.3173248,135.142186
27,大阪府,オオサカフ,41,太子町,タイシチョウ,34.5189996,135.6474155
27,大阪府,オオサカフ,42,河南町,カナンチョウ,34.4915803,135.6296384
27,大阪府,オオサカフ,43,千早赤阪村,チハヤアカサカムラ,34.4646481,135.6225846
