都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
28,兵庫県,ヒョウゴケン,1,神戸市,コウベシ,34.6900806,135.1956311
28,兵庫県,ヒョウゴケン,2,姫路市,ヒメジシ,34.8154176,134.6855509
28,兵庫県,ヒョウゴケン,3,尼崎市,アマガサキシ,34.7327113,135.4057914
28,兵庫県,ヒョウゴケン,4,明石市,アカシシ,34.6432078,134.9975859
28,兵庫県,ヒョウゴケン,5,西宮市,ニシノミヤシ,34.7376029,135.3415109
28,兵庫県,ヒョウゴケン,6,洲本市,スモトシ,34.3428883,134.895295
28,兵庫県,ヒョウゴケン,7,芦屋市,アシヤシ,34.726954,135.3041271
28,兵庫県,ヒョウゴケン,8,伊丹市,イタミシ,34.7843478,135.4009097
28,兵庫県,ヒョウゴケン,9,相生市,アイオイシ,34.803968,134.4683474
28,兵庫県,ヒョウゴケン,10,豊岡市,トヨオカシ,35.544556,134.8202406
28,兵庫県,ヒョウゴケン,11,加古川市,カコガワシ,34.7569193,134.84136
28,兵庫県,ヒョウゴケン,12,赤穂市,アコウシ,34.7550685,134.3902271
28,兵庫県,ヒョウゴケン,13,西脇市,ニシワキシ,34.9933877,134.9693549
28,兵庫県,ヒョウゴケン,14,宝塚市,タカラヅカシ,34.7999842,135.3602593
28,兵庫県,ヒョウゴケン,15,三木市,ミキシ,34.7968964,134.9901941
28,兵庫県,ヒョウゴケン,16,高砂市,タカサゴシ,34.7661005,134.7906014
28,兵庫県,ヒョウゴケン,17,川西市,カワニシシ,34.8301986,135.4173955
28,兵庫県,ヒョウゴケン,18,小野市,オノシ,34.8531978,134.93151
28,兵庫県,ヒョウゴケン,19,三田市,サンダシ,34.8900002,135.225507
28,兵庫県,ヒョウゴケン,20,加西市,カサイシ,34.9280226,134.841609
28,兵庫県,ヒョウゴケン,21,丹波篠山市,タンバササヤマシ,35.0757292,135.2191961
28,兵庫県,ヒョウゴケン,22,養父市,ヤブシ,35.404612,134.7676319
28,兵庫県,ヒョウゴケン,23,丹波市,タンバシ,35.177132,135.0358419
28,兵庫県,ヒョウゴケン,24,南あわじ市,ミナミアワジシ,34.2944897,134.7797816
28,兵庫県,ヒョウゴケン,25,朝来市,アサゴシ,35.3397832,134.8523483
28,兵庫県,ヒョウゴケン,26,淡路市,アワジシ,34.4396558,134.9149109
28,兵庫県,ヒョウゴケン,27,宍粟市,シソウシ,35.0042414,134.5493785
28,兵庫県,ヒョウゴケン,28,加東市,カトウシ,34.9185915,134.9734436
28,兵庫県,ヒョウゴケン,29,たつの市,タツノシ,34.8314078,134.5494238
28,兵庫県,ヒョウゴケン,30,猪名川町,イナガワチョウ,34.8950618,135.3761626
28,兵庫県,ヒョウゴケン,31,多可町,タカチョウ,35.0502159,134.9234248
28,兵庫県,ヒョウゴケン,32,稲美町,イナミチョウ,34.7487279,134.913496
28,兵庫県,ヒョウゴケン,33,播磨町,ハリマチョウ,34.7152468,134.8680023
28,兵庫県,ヒョウゴケン,34,市川町,イチカワチョウ,34.9892293,134.7633272
28,兵庫県,ヒョウゴケン,35,福崎町,フクサキチョウ,34.9502382,134.7601816
28,兵庫県,ヒョウゴケン,36,神河町,カミカワチョウ,35.0641675,134.739557
28,兵庫県,ヒョウゴケン,37,太子町,タイシチョウ,34.8332769,134.5722801
28,兵庫県,ヒョウゴケン,38,上郡町,カミゴオリチョウ,34.8736349,134.3562274
28,兵庫県,ヒョウゴケン,39,佐用町,サヨウチョウ,35.0043147,134.3558423
28,兵庫県,ヒョウゴケン,40,香美町,カミチョウ,35.6319709,134.6293458
28,兵庫県,ヒョウゴケン,41,新温泉町,シンオンセンチョウ,35.6236911,134.4489297
