都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
29,奈良県,ナラケン,1,奈良市,ナラシ,34.685109,135.8048019
29,奈良県,ナラケン,2,大和高田市,ヤマトタカダシ,34.5150816,135.7363946
29,奈良県,ナラケン,3,大和郡山市,ヤマトコオリヤマシ,34.6488378,135.7825031
29,奈良県,ナラケン,4,天理市,テンリシ,34.5966597,135.8373605
29,奈良県,ナラケン,5,橿原市,カシハラシ,34.50945,135.7925947
29,奈良県,ナラケン,6,桜井市,サクライシ,34.5186708,135.8432263
29,奈良県,ナラケン,7,五條市,ゴジョウシ,34.3520322,135.6935169
29,奈良県,ナラケン,8,御所市,ゴセシ,34.4633292,135.7401751
29,奈良県,ナラケン,9,生駒市,イコマシ,34.6919529,135.7005192
29,奈良県,ナラケン,10,香芝市,カシバシ,34.5412467,135.6989837
29,奈良県,ナラケン,11,葛城市,カツラギシ,34.4892091,135.7264671
29,奈良県,ナラケン,12,宇陀市,ウダシ,34.5280233,135.9524334
29,奈良県,ナラケン,13,山添村,ヤマゾエムラ,34.6810511,136.0438602
29,奈良県,ナラケン,14,平群町,ヘグリチョウ,34.6291274,135.7005885
29,奈良県,ナラケン,15,三郷町,サンゴウチョウ,34.6004107,135.6953605
29,奈良県,ナラケン,16,斑鳩町,イカルガチョウ,34.6088702,135.7306479
29,奈良県,ナラケン,17,安堵町,アンドチョウ,34.6065095,135.7568432
29,奈良県,ナラケン,18,川西町,カワニシチョウ,34.5843899,135.7739874
29,奈良県,ナラケン,19,三宅町,ミヤケチョウ,34.5736697,135.7732169
29,奈良県,ナラケン,20,田原本町,タワラモトチョウ,34.5566607,135.7950037
29,奈良県,ナラケン,21,曽爾村,ソニムラ,34.5106558,136.1246096
29,奈良県,ナラケン,22,御杖村,ミツエムラ,34.4880933,136.1659914
29,奈良県,ナラケン,23,高取町,タカトリチョウ,34.4495417,135.7929907
29,奈良県,ナラケン,24,明日香村,アスカムラ,34.4713594,135.8206452
29,奈良県,ナラケン,25,上牧町,カンマキチョウ,34.5627674,135.7167271
29,奈良県,ナラケン,26,王寺町,オウジチョウ,34.5946947,135.706551
29,奈良県,ナラケン,27,広陵町,コウリヨウチョウ,34.5427722,135.7508625
29,奈良県,ナラケン,28,河合町,カワイチョウ,34.5784524,135.7367008
29,奈良県,ナラケン,29,吉野町,ヨシノチョウ,34.396001,135.857574
29,奈良県,ナラケン,30,大淀町,オオヨドチョウ,34.3906201,135.7897538
29,奈良県,ナラケン,31,下市町,シモイチチョウ,34.3609301,135.7918818
29,奈良県,ナラケン,32,黒滝村,クロタキムラ,34.3092604,135.8522867
29,奈良県,ナラケン,33,天川村,テンカワムラ,34.2419681,135.8552035
29,奈良県,ナラケン,34,野迫川村,ノセガワムラ,34.1662243,135.6330968
29,奈良県,ナラケン,35,十津川村,トツカワムラ,33.9885408,135.7931012
29,奈良県,ナラケン,36,下北山村,シモキタヤマムラ,34.0050411,135.955093
29,奈良県,ナラケン,37,上北山村,カミキタヤマムラ,34.1342853,136.0001391
29,奈良県,ナラケン,38,川上村,カワカミムラ,34.3381388,135.9543865
29,奈良県,ナラケン,39,東吉野村,ヒガシヨシノムラ,34.4035062,135.9683737
