都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
2,青森県,アオモリケン,1,青森市,アオモリシ,40.8222197,140.7473524
2,青森県,アオモリケン,2,弘前市,ヒロサキシ,40.6030626,140.4640543
2,青森県,アオモリケン,3,八戸市,ハチノヘシ,40.5122055,141.4882743
2,青森県,アオモリケン,4,黒石市,クロイシシ,40.6426266,140.5946719
2,青森県,アオモリケン,5,五所川原市,ゴショガワラシ,40.8076933,140.4461156
2,青森県,アオモリケン,6,十和田市,トワダシ,40.6126011,141.2069318
2,青森県,アオモリケン,7,三沢市,ミサワシ,40.683157,141.3690006
2,青森県,アオモリケン,8,むつ市,ムツシ,41.2927986,141.1834683
2,青森県,アオモリケン,9,つがる市,ツガルシ,40.808222,140.3805004
2,青森県,アオモリケン,10,平川市,ヒラカワシ,40.5840748,140.5666153
2,青森県,アオモリケン,11,平内町,ヒラナイマチ,40.9260794,140.9558994
2,青森県,アオモリケン,12,今別町,イマベツマチ,41.1819076,140.4817372
2,青森県,アオモリケン,13,蓬田村,ヨモギタムラ,40.9719299,140.6560044
2,青森県,アオモリケン,14,外ヶ浜町,ソトガハママチ,41.0425878,140.6320133
2,青森県,アオモリケン,15,鰺ヶ沢町,アジガサワマチ,40.7798998,140.208653
2,青森県,アオモリケン,16,深浦町,フカウラマチ,40.6478459,139.9276061
2,青森県,アオモリケン,17,西目屋村,ニシメヤムラ,40.5767066,140.2962588
2,青森県,アオモリケン,18,藤崎町,フジサキマチ,40.6561385,140.5028079
2,青森県,アオモリケン,19,大鰐町,オオワニマチ,40.517942,140.5686345
2,青森県,アオモリケン,20,田舎館村,イナカダテムラ,40.6313011,140.5502528
2,青森県,アオモリケン,21,板柳町,イタヤナギマチ,40.6959871,140.4575435
2,青森県,アオモリケン,22,鶴田町,ツルタマチ,40.7587474,140.4286196
2,青森県,アオモリケン,23,中泊町,ナカドマリマチ,40.9604366,140.4338661
2,青森県,アオモリケン,24,野辺地町,ノヘジマチ,40.8644613,141.1287144
2,青森県,アオモリケン,25,七戸町,シチノヘマチ,40.6974224,141.1510243
2,青森県,アオモリケン,26,六戸町,ロクノヘマチ,40.6095745,141.3247266
2,青森県,アオモリケン,27,横浜町,ヨコハママチ,41.0831433,141.2477228
2,青森県,アオモリケン,28,東北町,トウホクマチ,40.7279629,141.2578405
2,青森県,アオモリケン,29,六ヶ所村,ロッカショムラ,40.9673406,141.3744879
2,青森県,アオモリケン,30,おいらせ町,オイラセチョウ,40.5993178,141.3976282
2,青森県,アオモリケン,31,大間町,オオママチ,41.5267934,140.9074974
2,青森県,アオモリケン,32,東通村,ヒガシドオリムラ,41.2774076,141.3305953
2,青森県,アオモリケン,33,風間浦村,カザマウラムラ,41.4875777,140.995713
2,青森県,アオモリケン,34,佐井村,サイムラ,41.4296776,140.8585705
2,青森県,アオモリケン,35,三戸町,サンノヘマチ,40.3784424,141.2586937
2,青森県,アオモリケン,36,五戸町,ゴノヘマチ,40.5311717,141.3079712
2,青森県,アオモリケン,37,田子町,タッコマチ,40.3399922,141.1522493
2,青森県,アオモリケン,38,南部町,ナンブチョウ,40.4667161,141.3820655
2,青森県,アオモリケン,39,階上町,ハシカミチョウ,40.4524042,141.6210049
2,青森県,アオモリケン,40,新郷村,シンゴウムラ,40.4657658,141.1734956
