都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
30,和歌山県,ワカヤマケン,1,和歌山市,ワカヤマシ,34.2303678,135.1707405
30,和歌山県,ワカヤマケン,2,海南市,カイナンシ,34.1546514,135.2557113
30,和歌山県,ワカヤマケン,3,橋本市,ハシモトシ,34.3146694,135.6054068
30,和歌山県,ワカヤマケン,4,有田市,アリダシ,34.0830306,135.1276824
30,和歌山県,ワカヤマケン,5,御坊市,ゴボウシ,33.8915718,135.1516396
30,和歌山県,ワカヤマケン,6,田辺市,タナベシ,33.7280054,135.3777299
30,和歌山県,ワカヤマケン,7,新宮市,シングウシ,33.7241203,135.9924819
30,和歌山県,ワカヤマケン,8,紀の川市,キノカワシ,34.2698471,135.3626864
30,和歌山県,ワカヤマケン,9,岩出市,イワデシ,34.256226,135.3113393
30,和歌山県,ワカヤマケン,10,紀美野町,キミノチョウ,34.1672506,135.3075864
30,和歌山県,ワカヤマケン,11,かつらぎ町,カツラギチョウ,34.2966918,135.5036497
30,和歌山県,ワカヤマケン,12,九度山町,クドヤマチョウ,34.2871892,135.5622558
30,和歌山県,ワカヤマケン,13,高野町,コウヤチョウ,34.2160949,135.5865298
30,和歌山県,ワカヤマケン,14,湯浅町,ユアサチョウ,34.0294274,135.1904792
30,和歌山県,ワカヤマケン,15,広川町,ヒロガワチョウ,34.0300852,135.1727254
30,和歌山県,ワカヤマケン,16,有田川町,アリダガワチョウ,34.0704634,135.2298848
30,和歌山県,ワカヤマケン,17,美浜町,ミハマチョウ,33.8938033,135.1333014
30,和歌山県,ワカヤマケン,18,日高町,ヒダカチョウ,33.9256939,135.1411289
30,和歌山県,ワカヤマケン,19,由良町,ユラチョウ,33.9592854,135.1182368
30,和歌山県,ワカヤマケン,20,印南町,イナミチョウ,33.8195143,135.2226575
30,和歌山県,ワカヤマケン,21,みなべ町,ミナベチョウ,33.7723658,135.3215997
30,和歌山県,ワカヤマケン,22,日高川町,ヒダカガワチョウ,33.9117586,135.1858938
30,和歌山県,ワカヤマケン,23,白浜町,シラハマチョウ,33.6781397,135.3481896
30,和歌山県,ワカヤマケン,24,上富田町,カミトンダチョウ,33.6960499,135.4284972
30,和歌山県,ワカヤマケン,25,すさみ町,スサミチョウ,33.5501227,135.4966256
30,和歌山県,ワカヤマケン,26,那智勝浦町,ナチカツウラチョウ,33.6260859,135.9410357
30,和歌山県,ワカヤマケン,27,太地町,タイジチョウ,33.5940431,135.9439575
30,和歌山県,ワカヤマケン,28,古座川町,コザガワチョウ,33.5319209,135.8148162
30,和歌山県,ワカヤマケン,29,北山村,キタヤマムラ,33.9320981,135.9691631
30,和歌山県,ワカヤマケン,30,串本町,クシモトチョウ,33.4725476,135.7814691
