都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
31,鳥取県,トットリケン,1,鳥取市,トットリシ,35.5011082,134.2351011
31,鳥取県,トットリケン,2,米子市,ヨナゴシ,35.4281164,133.3309966
31,鳥取県,トットリケン,3,倉吉市,クラヨシシ,35.4304213,133.8260633
31,鳥取県,トットリケン,4,境港市,サカイミナトシ,35.5396534,133.2316204
31,鳥取県,トットリケン,5,岩美町,イワミチョウ,35.5759498,134.3321448
31,鳥取県,トットリケン,6,若桜町,ワカサチョウ,35.3401908,134.4009764
31,鳥取県,トットリケン,7,智頭町,チヅチョウ,35.2650609,134.2265612
31,鳥取県,トットリケン,8,八頭町,ヤズチョウ,35.4092294,134.2505435
31,鳥取県,トットリケン,9,三朝町,ミササチョウ,35.4082191,133.862252
31,鳥取県,トットリケン,10,湯梨浜町,ユリハマチョウ,35.4899318,133.8646827
31,鳥取県,トットリケン,11,琴浦町,コトウラチョウ,35.4947725,133.6924155
31,鳥取県,トットリケン,12,北栄町,ホクエイチョウ,35.4900736,133.7585247
31,鳥取県,トットリケン,13,日吉津村,ヒエヅソン,35.4401788,133.3807532
31,鳥取県,トットリケン,14,大山町,ダイセンチョウ,35.5106767,133.49631
31,鳥取県,トットリケン,15,南部町,ナンブチョウ,35.3708151,133.3618958
31,鳥取県,トットリケン,16,伯耆町,ホウキチョウ,35.385245,133.4074141
31,鳥取県,トットリケン,17,日南町,ニチナンチョウ,35.1635053,133.3062192
31,鳥取県,トットリケン,18,日野町,ヒノチョウ,35.2407978,133.4426849
31,鳥取県,トットリケン,19,江府町,コウフチョウ,35.2829909,133.4884052
