都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
32,島根県,シマネケン,1,松江市,マツエシ,35.4681908,133.0484055
32,島根県,シマネケン,2,浜田市,ハマダシ,34.8993937,132.0802638
32,島根県,シマネケン,3,出雲市,イズモシ,35.3670442,132.7546943
32,島根県,シマネケン,4,益田市,マスダシ,34.674846,131.842886
32,島根県,シマネケン,5,大田市,オオダシ,35.1920811,132.4992838
32,島根県,シマネケン,6,安来市,ヤスギシ,35.4309827,133.2510947
32,島根県,シマネケン,7,江津市,ゴウツシ,35.0112935,132.2207943
32,島根県,シマネケン,8,雲南市,ウンナンシ,35.3077562,132.9006125
32,島根県,シマネケン,9,奥出雲町,オクイズモチョウ,35.197497,133.0024194
32,島根県,シマネケン,10,飯南町,イイナンチョウ,34.998776,132.7133762
32,島根県,シマネケン,11,川本町,カワモトマチ,34.9952452,132.4958351
32,島根県,シマネケン,12,美郷町,ミサトチョウ,35.0765771,132.590645
32,島根県,シマネケン,13,邑南町,オオナンチョウ,34.8939743,132.4379194
32,島根県,シマネケン,14,津和野町,ツワノチョウ,34.4670081,131.7729894
32,島根県,シマネケン,15,吉賀町,ヨシカチョウ,34.3534873,131.9350726
32,島根県,シマネケン,16,海士町,アマチョウ,36.0965035,133.0967318
32,島根県,シマネケン,17,西ノ島町,ニシノシマチョウ,36.093278,132.9943698
32,島根県,シマネケン,18,知夫村,チブムラ,36.0139223,133.0395309
32,島根県,シマネケン,19,隠岐の島町,オキノシマチョウ,36.20915,133.3216953
