都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
34,広島県,ヒロシマケン,1,広島市,ヒロシマシ,34.3852894,132.4553055
34,広島県,ヒロシマケン,2,呉市,クレシ,34.2489485,132.5655271
34,広島県,ヒロシマケン,3,竹原市,タケハラシ,34.3417913,132.9070578
34,広島県,ヒロシマケン,4,三原市,ミハラシ,34.3974307,133.0787608
34,広島県,ヒロシマケン,5,尾道市,オノミチシ,34.4088998,133.2049142
34,広島県,ヒロシマケン,6,福山市,フクヤマシ,34.4859845,133.3624239
34,広島県,ヒロシマケン,7,府中市,フチュウシ,34.5680343,133.2365146
34,広島県,ヒロシマケン,8,三次市,ミヨシシ,34.80559,132.8518798
34,広島県,ヒロシマケン,9,庄原市,ショウバラシ,34.8577531,133.0172624
34,広島県,ヒロシマケン,10,大竹市,オオタケシ,34.2376953,132.2221691
34,広島県,ヒロシマケン,11,東広島市,ヒガシヒロシマシ,34.4264138,132.7433115
34,広島県,ヒロシマケン,12,廿日市市,ハツカイチシ,34.3487975,132.3317862
34,広島県,ヒロシマケン,13,安芸高田市,アキタカタシ,34.6662948,132.704317
34,広島県,ヒロシマケン,14,江田島市,エタジマシ,34.1749276,132.4622065
34,広島県,ヒロシマケン,15,府中町,フチュウチョウ,34.3924292,132.504531
34,広島県,ヒロシマケン,16,海田町,カイタチョウ,34.3721705,132.5360861
34,広島県,ヒロシマケン,17,熊野町,クマノチョウ,34.3357937,132.5845718
34,広島県,ヒロシマケン,18,坂町,サカチョウ,34.3412844,132.5136345
34,広島県,ヒロシマケン,19,安芸太田町,アキオオタチョウ,34.5767695,132.2272117
34,広島県,ヒロシマケン,20,北広島町,キタヒロシマチョウ,34.6746159,132.5383858
34,広島県,ヒロシマケン,21,大崎上島町,オオサキカミジマチョウ,34.2695149,132.9157359
34,広島県,ヒロシマケン,22,世羅町,セラチョウ,34.5868067,133.0566521
34,広島県,ヒロシマケン,23,神石高原町,ジンセキコウゲンチョウ,34.7036484,133.2478294
