都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
35,山口県,ヤマグチケン,1,下関市,シモノセキシ,33.9575297,130.9411759
35,山口県,ヤマグチケン,2,宇部市,ウベシ,33.9515554,131.2468161
35,山口県,ヤマグチケン,3,山口市,ヤマグチシ,34.1782945,131.4738432
35,山口県,ヤマグチケン,4,萩市,ハギシ,34.4081121,131.3990499
35,山口県,ヤマグチケン,5,防府市,ホウフシ,34.0517251,131.5627309
35,山口県,ヤマグチケン,6,下松市,クダマツシ,34.0138304,131.8695466
35,山口県,ヤマグチケン,7,岩国市,イワクニシ,34.1667451,132.2191641
35,山口県,ヤマグチケン,8,光市,ヒカリシ,33.9618201,131.9422491
35,山口県,ヤマグチケン,9,長門市,ナガトシ,34.370856,131.18262
35,山口県,ヤマグチケン,10,柳井市,ヤナイシ,33.9638862,132.1016377
35,山口県,ヤマグチケン,11,美祢市,ミネシ,34.1664663,131.2060721
35,山口県,ヤマグチケン,12,周南市,シュウナンシ,34.0550099,131.8061149
35,山口県,ヤマグチケン,13,山陽小野田市,サンヨウオノダシ,34.0030544,131.1822044
35,山口県,ヤマグチケン,14,周防大島町,スオウオオシマチョウ,33.9276093,132.1953602
35,山口県,ヤマグチケン,15,和木町,ワキチョウ,34.2024049,132.2202092
35,山口県,ヤマグチケン,16,上関町,カミノセキチョウ,33.8309548,132.1107462
35,山口県,ヤマグチケン,17,田布施町,タブセチョウ,33.9547155,132.0413779
35,山口県,ヤマグチケン,18,平生町,ヒラオチョウ,33.937943,132.0731789
35,山口県,ヤマグチケン,19,阿武町,アブチョウ,34.5032839,131.471441
