都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
36,徳島県,トクシマケン,1,徳島市,トクシマシ,34.0703652,134.5549537
36,徳島県,トクシマケン,2,鳴門市,ナルトシ,34.1726034,134.608866
36,徳島県,トクシマケン,3,小松島市,コマツシマシ,34.0047412,134.5907301
36,徳島県,トクシマケン,4,阿南市,アナンシ,33.9217662,134.659438
36,徳島県,トクシマケン,5,吉野川市,ヨシノガワシ,34.0662658,134.3586854
36,徳島県,トクシマケン,6,阿波市,アワシ,34.1015446,134.2976012
36,徳島県,トクシマケン,7,美馬市,ミマシ,34.0533582,134.169914
36,徳島県,トクシマケン,8,三好市,ミヨシシ,34.0260234,133.8072458
36,徳島県,トクシマケン,9,勝浦町,カツウラチョウ,33.9314392,134.5113528
36,徳島県,トクシマケン,10,上勝町,カミカツチョウ,33.8891631,134.4019661
36,徳島県,トクシマケン,11,佐那河内村,サナゴウチソン,33.9931989,134.4532143
36,徳島県,トクシマケン,12,石井町,イシイチョウ,34.0742086,134.4407484
36,徳島県,トクシマケン,13,神山町,カミヤマチョウ,33.9672275,134.3504705
36,徳島県,トクシマケン,14,那賀町,ナカチョウ,33.8574529,134.4966709
36,徳島県,トクシマケン,15,牟岐町,ムギチョウ,33.6683813,134.4206795
36,徳島県,トクシマケン,16,美波町,ミナミチョウ,33.7345546,134.5355415
36,徳島県,トクシマケン,17,海陽町,カイヨウチョウ,33.6020139,134.3520063
36,徳島県,トクシマケン,18,松茂町,マツシゲチョウ,34.1337869,134.5805474
36,徳島県,トクシマケン,19,北島町,キタジマチョウ,34.1255652,134.546958
36,徳島県,トクシマケン,20,藍住町,アイズミチョウ,34.1262062,134.4957967
36,徳島県,トクシマケン,21,板野町,イタノチョウ,34.1443613,134.4625881
36,徳島県,トクシマケン,22,上板町,カミイタチョウ,34.1214189,134.4049271
36,徳島県,トクシマケン,23,つるぎ町,ツルギチョウ,34.0373054,134.0640817
36,徳島県,トクシマケン,24,東みよし町,ヒガシミヨシチョウ,34.0368653,133.9369172
