都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
37,香川県,カガワケン,1,高松市,タカマツシ,34.342542,134.0465405
37,香川県,カガワケン,2,丸亀市,マルガメシ,34.2893547,133.797643
37,香川県,カガワケン,3,坂出市,サカイデシ,34.316426,133.8604948
37,香川県,カガワケン,4,善通寺市,ゼンツウジシ,34.2285301,133.7870982
37,香川県,カガワケン,5,観音寺市,カンオンジシ,34.1284357,133.6628477
37,香川県,カガワケン,6,さぬき市,サヌキシ,34.3253204,134.1720506
37,香川県,カガワケン,7,東かがわ市,ヒガシカガワシ,34.243727,134.358959
37,香川県,カガワケン,8,三豊市,ミトヨシ,34.1825338,133.7151175
37,香川県,カガワケン,9,土庄町,トノショウチョウ,34.4860446,134.1857748
37,香川県,カガワケン,10,小豆島町,ショウドシマチョウ,34.4818325,134.2336123
37,香川県,カガワケン,11,三木町,ミキチョウ,34.2684471,134.1343947
37,香川県,カガワケン,12,直島町,ナオシマチョウ,34.4597802,133.9956414
37,香川県,カガワケン,13,宇多津町,ウタヅチョウ,34.3113524,133.825692
37,香川県,カガワケン,14,綾川町,アヤガワチョウ,34.2496407,133.9231427
37,香川県,カガワケン,15,琴平町,コトヒラチョウ,34.1914394,133.823306
37,香川県,カガワケン,16,多度津町,タドツチョウ,34.2722762,133.7532274
37,香川県,カガワケン,17,まんのう町,マンノウチョウ,34.1923098,133.8414391
