都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
38,愛媛県,エヒメケン,1,松山市,マツヤマシ,33.8393515,132.7653057
38,愛媛県,エヒメケン,2,今治市,イマバリシ,34.0662024,132.9977906
38,愛媛県,エヒメケン,3,宇和島市,ウワジマシ,33.2235707,132.560384
38,愛媛県,エヒメケン,4,八幡浜市,ヤワタハマシ,33.4628782,132.4233981
38,愛媛県,エヒメケン,5,新居浜市,ニイハマシ,33.9602876,133.2833918
38,愛媛県,エヒメケン,6,西条市,サイジョウシ,33.919495,133.1811444
38,愛媛県,エヒメケン,7,大洲市,オオズシ,33.5061905,132.5446184
38,愛媛県,エヒメケン,8,伊予市,イヨシ,33.7576929,132.7038611
38,愛媛県,エヒメケン,9,四国中央市,シコクチュウオウシ,33.9804152,133.5490295
38,愛媛県,エヒメケン,10,西予市,セイヨシ,33.3625701,132.5109702
38,愛媛県,エヒメケン,11,東温市,トウオンシ,33.7910504,132.8722841
38,愛媛県,エヒメケン,12,上島町,カミジマチョウ,34.2574661,133.2044953
38,愛媛県,エヒメケン,13,久万高原町,クマコウゲンチョウ,33.6555115,132.9017821
38,愛媛県,エヒメケン,14,松前町,マサキチョウ,33.7874698,132.7113675
38,愛媛県,エヒメケン,15,砥部町,トベチョウ,33.7492345,132.7922393
38,愛媛県,エヒメケン,16,内子町,ウチコチョウ,33.5329067,132.6579791
38,愛媛県,エヒメケン,17,伊方町,イカタチョウ,33.4886038,132.3542025
38,愛媛県,エヒメケン,18,松野町,マツノチョウ,33.2272576,132.7107477
38,愛媛県,エヒメケン,19,鬼北町,キホクチョウ,33.2559058,132.6841588
38,愛媛県,エヒメケン,20,愛南町,アイナンチョウ,32.9623239,132.5835016
