都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
39,高知県,コウチケン,1,高知市,コウチシ,33.5588821,133.5312383
39,高知県,コウチケン,2,室戸市,ムロトシ,33.2899726,134.152103
39,高知県,コウチケン,3,安芸市,アキシ,33.5025379,133.9071048
39,高知県,コウチケン,4,南国市,ナンコクシ,33.575688,133.6414203
39,高知県,コウチケン,5,土佐市,トサシ,33.4960562,133.4252581
39,高知県,コウチケン,6,須崎市,スサキシ,33.400844,133.2829397
39,高知県,コウチケン,7,宿毛市,スクモシ,32.9389868,132.7261631
39,高知県,コウチケン,8,土佐清水市,トサシミズシ,32.7815775,132.9550004
39,高知県,コウチケン,9,四万十市,シマントシ,32.9913865,132.9337854
39,高知県,コウチケン,10,香南市,コウナンシ,33.5641492,133.7005313
39,高知県,コウチケン,11,香美市,カミシ,33.6037533,133.686005
39,高知県,コウチケン,12,東洋町,トウヨウチョウ,33.5279897,134.2800827
39,高知県,コウチケン,13,奈半利町,ナハリチョウ,33.4237767,134.0212393
39,高知県,コウチケン,14,田野町,タノチョウ,33.4279337,134.0081071
39,高知県,コウチケン,15,安田町,ヤスダチョウ,33.4384869,133.9811504
39,高知県,コウチケン,16,北川村,キタガワムラ,33.4479283,134.0422728
39,高知県,コウチケン,17,馬路村,ウマジムラ,33.5555002,134.0485258
39,高知県,コウチケン,18,芸西村,ゲイセイムラ,33.5269872,133.8091297
39,高知県,コウチケン,19,本山町,モトヤマチョウ,33.7571057,133.5913505
39,高知県,コウチケン,20,大豊町,オオトヨチョウ,33.7642948,133.6643281
39,高知県,コウチケン,21,土佐町,トサチョウ,33.7370178,133.5317933
39,高知県,コウチケン,22,大川村,オオカワムラ,33.7839115,133.4666865
39,高知県,コウチケン,23,いの町,イノチョウ,33.5486713,133.4277083
39,高知県,コウチケン,24,仁淀川町,ニヨドガワチョウ,33.5752059,133.1686229
39,高知県,コウチケン,25,中土佐町,ナカトサチョウ,33.3372797,133.1402034
39,高知県,コウチケン,26,佐川町,サカワチョウ,33.5008795,133.2867116
39,高知県,コウチケン,27,越知町,オチチョウ,33.5328657,133.2521763
39,高知県,コウチケン,28,梼原町,ユスハラチョウ,33.392282,132.9270325
39,高知県,コウチケン,29,日高村,ヒダカムラ,33.5347963,133.3733377
39,高知県,コウチケン,30,津野町,ツノチョウ,33.4463304,133.2001276
39,高知県,コウチケン,31,四万十町,シマントチョウ,33.2115825,133.137102
39,高知県,コウチケン,32,大月町,オオツキチョウ,32.8415639,132.7080585
39,高知県,コウチケン,33,三原村,ミハラムラ,32.9101358,132.8463869
39,高知県,コウチケン,34,黒潮町,クロシオチョウ,33.0248705,133.0108664
