都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
3,岩手県,イワテケン,1,盛岡市,モリオカシ,39.7019558,141.1543303
3,岩手県,イワテケン,2,宮古市,ミヤコシ,39.6394645,141.9462611
3,岩手県,イワテケン,3,大船渡市,オオフナトシ,39.0819002,141.7084933
3,岩手県,イワテケン,4,花巻市,ハナマキシ,39.3886253,141.1168998
3,岩手県,イワテケン,5,北上市,キタカミシ,39.2867738,141.1131535
3,岩手県,イワテケン,6,久慈市,クジシ,40.190462,141.7755843
3,岩手県,イワテケン,7,遠野市,トオノシ,39.3306618,141.5314512
3,岩手県,イワテケン,8,一関市,イチノセキシ,38.934703,141.1268764
3,岩手県,イワテケン,9,陸前高田市,リクゼンタカタシ,39.0277532,141.6255002
3,岩手県,イワテケン,10,釜石市,カマイシシ,39.2758046,141.8857275
3,岩手県,イワテケン,11,二戸市,ニノヘシ,40.2711044,141.3050625
3,岩手県,イワテケン,12,八幡平市,ハチマンタイシ,39.9565121,141.0712561
3,岩手県,イワテケン,13,奥州市,オウシュウシ,39.1444106,141.1392153
3,岩手県,イワテケン,14,滝沢市,タキザワシ,39.7346312,141.0773304
3,岩手県,イワテケン,15,雫石町,シズクイシチョウ,39.6962888,140.9757447
3,岩手県,イワテケン,16,葛巻町,クズマキマチ,40.0398211,141.4366957
3,岩手県,イワテケン,17,岩手町,イワテマチ,39.9726552,141.2124895
3,岩手県,イワテケン,18,紫波町,シワチョウ,39.5545514,141.155622
3,岩手県,イワテケン,19,矢巾町,ヤハバチョウ,39.6060296,141.1429791
3,岩手県,イワテケン,20,西和賀町,ニシワガマチ,39.317689,140.778656
3,岩手県,イワテケン,21,金ケ崎町,カネガサキチョウ,39.1957796,141.116246
3,岩手県,イワテケン,22,平泉町,ヒライズミチョウ,38.9866085,141.1137868
3,岩手県,イワテケン,23,住田町,スミタチョウ,39.1422926,141.5749901
3,岩手県,イワテケン,24,大槌町,オオツチチョウ,39.3583253,141.9005361
3,岩手県,イワテケン,25,山田町,ヤマダマチ,39.4676212,141.9490579
3,岩手県,イワテケン,26,岩泉町,イワイズミチョウ,39.8432003,141.7965427
3,岩手県,イワテケン,27,田野畑村,タノハタムラ,39.9304748,141.8888973
3,岩手県,イワテケン,28,普代村,フダイムラ,40.0052108,141.8859406
3,岩手県,イワテケン,29,軽米町,カルマイマチ,40.3267202,141.4606368
3,岩手県,イワテケン,30,野田村,ノダムラ,40.1102393,141.8177731
3,岩手県,イワテケン,31,九戸村,クノヘムラ,40.2113905,141.4190487
3,岩手県,イワテケン,32,洋野町,ヒロノチョウ,40.4082359,141.7187513
3,岩手県,イワテケン,33,一戸町,イチノヘマチ,40.2130221,141.295616
