都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
40,福岡県,フクオカケン,1,北九州市,キタキュウシュウシ,33.8834976,130.8751773
40,福岡県,フクオカケン,2,福岡市,フクオカシ,33.5901838,130.4016888
40,福岡県,フクオカケン,3,大牟田市,オオムタシ,33.0301948,130.4461388
40,福岡県,フクオカケン,4,久留米市,クルメシ,33.3192356,130.5083557
40,福岡県,フクオカケン,5,直方市,ノオガタシ,33.7440436,130.7295553
40,福岡県,フクオカケン,6,飯塚市,イイヅカシ,33.6465627,130.6911797
40,福岡県,フクオカケン,7,田川市,タガワシ,33.6388425,130.8061786
40,福岡県,フクオカケン,8,柳川市,ヤナガワシ,33.1631009,130.4058124
40,福岡県,フクオカケン,9,八女市,ヤメシ,33.2119555,130.5579315
40,福岡県,フクオカケン,10,筑後市,チクゴシ,33.2123792,130.5022337
40,福岡県,フクオカケン,11,大川市,オオカワシ,33.2057622,130.3841324
40,福岡県,フクオカケン,12,行橋市,ユクハシシ,33.7288417,130.982874
40,福岡県,フクオカケン,13,豊前市,ブゼンシ,33.6115344,131.1303136
40,福岡県,フクオカケン,14,中間市,ナカマシ,33.8163036,130.7089788
40,福岡県,フクオカケン,15,小郡市,オゴオリシ,33.396427,130.5555506
40,福岡県,フクオカケン,16,筑紫野市,チクシノシ,33.4962497,130.5155935
40,福岡県,フクオカケン,17,春日市,カスガシ,33.5326117,130.4705019
40,福岡県,フクオカケン,18,大野城市,オオノジョウシ,33.5369648,130.478597
40,福岡県,フクオカケン,19,宗像市,ムナカタシ,33.8055433,130.5410298
40,福岡県,フクオカケン,20,太宰府市,ダザイフシ,33.5127734,130.5239685
40,福岡県,フクオカケン,21,古賀市,コガシ,33.7287624,130.4700958
40,福岡県,フクオカケン,22,福津市,フクツシ,33.7667633,130.4910622
40,福岡県,フクオカケン,23,うきは市,ウキハシ,33.3474487,130.7550034
40,福岡県,フクオカケン,24,宮若市,ミヤワカシ,33.7235308,130.6667557
40,福岡県,フクオカケン,25,嘉麻市,カマシ,33.5633066,130.7116158
40,福岡県,フクオカケン,26,朝倉市,アサクラシ,33.4234677,130.6656664
40,福岡県,フクオカケン,27,みやま市,ミヤマシ,33.1525179,130.4747265
40,福岡県,フクオカケン,28,糸島市,イトシマシ,33.5573018,130.1955296
40,福岡県,フクオカケン,29,那珂川市,ナカガワシ,33.4995319,130.4221702
40,福岡県,フクオカケン,30,宇美町,ウミマチ,33.5677378,130.5111996
40,福岡県,フクオカケン,31,篠栗町,ササグリマチ,33.6239314,130.5261801
40,福岡県,フクオカケン,32,志免町,シメマチ,33.5913508,130.4790271
40,福岡県,フクオカケン,33,須恵町,スエマチ,33.5872957,130.5072732
40,福岡県,フクオカケン,34,新宮町,シングウマチ,33.7153098,130.4465158
40,福岡県,フクオカケン,35,久山町,ヒサヤママチ,33.6467866,130.4998942
40,福岡県,フクオカケン,36,粕屋町,カスヤマチ,33.6107297,130.4805588
40,福岡県,フクオカケン,37,芦屋町,アシヤマチ,33.8938696,130.663761
40,福岡県,フクオカケン,38,水巻町,ミズマキマチ,33.8548263,130.6949688
40,福岡県,フクオカケン,39,岡垣町,オカガキマチ,33.8537037,130.6119628
40,福岡県,フクオカケン,40,遠賀町,オンガチョウ,33.8481327,130.6684571
40,福岡県,フクオカケン,41,小竹町,コタケマチ,33.692512,130.7127331
40,福岡県,フクオカケン,42,鞍手町,クラテマチ,33.7922074,130.6740443
40,福岡県,フクオカケン,43,桂川町,ケイセンマチ,33.5789082,130.6780899
40,福岡県,フクオカケン,44,筑前町,チクゼンマチ,33.4570626,130.5952314
40,福岡県,フクオカケン,45,東峰村,トウホウムラ,33.4691587,130.8246299
40,福岡県,フクオカケン,46,大刀洗町,タチアライマチ,33.3723783,130.6225861
40,福岡県,フクオカケン,47,大木町,オオキマチ,33.2105364,130.4398201
40,福岡県,フクオカケン,48,広川町,ヒロカワマチ,33.2416013,130.5514669
40,福岡県,フクオカケン,49,香春町,カワラマチ,33.6686042,130.8467107
40,福岡県,フクオカケン,50,添田町,ソエダマチ,33.5718368,130.8540843
40,福岡県,フクオカケン,51,糸田町,イトダマチ,33.6527454,130.7790436
40,福岡県,フクオカケン,52,川崎町,カワサキマチ,33.5999115,130.8150123
40,福岡県,フクオカケン,53,大任町,オオトウマチ,33.6123823,130.8537908
40,福岡県,フクオカケン,54,赤村,アカムラ,33.6167033,130.8708355
40,福岡県,フクオカケン,55,福智町,フクチマチ,33.6826424,130.7798359
40,福岡県,フクオカケン,56,苅田町,カンダマチ,33.7759741,130.9805119
40,福岡県,フクオカケン,57,みやこ町,ミヤコマチ,33.6992844,130.9203066
40,福岡県,フクオカケン,58,吉富町,ヨシトミマチ,33.6026817,131.1760175
40,福岡県,フクオカケン,59,上毛町,コウゲマチ,33.5783934,131.1647771
40,福岡県,フクオカケン,60,築上町,チクジョウマチ,33.6561901,131.0559561
