都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
41,佐賀県,サガケン,1,佐賀市,サガシ,33.2631179,130.3009057
41,佐賀県,サガケン,2,唐津市,カラツシ,33.4500971,129.9682676
41,佐賀県,サガケン,3,鳥栖市,トスシ,33.3778796,130.5062434
41,佐賀県,サガケン,4,多久市,タクシ,33.2885641,130.1100619
41,佐賀県,サガケン,5,伊万里市,イマリシ,33.2650014,129.8804221
41,佐賀県,サガケン,6,武雄市,タケオシ,33.1941592,130.0215646
41,佐賀県,サガケン,7,鹿島市,カシマシ,33.1037584,130.0985898
41,佐賀県,サガケン,8,小城市,オギシ,33.2738073,130.2174726
41,佐賀県,サガケン,9,嬉野市,ウレシノシ,33.1009323,129.9870664
41,佐賀県,サガケン,10,神埼市,カンザキシ,33.3107141,130.3730662
41,佐賀県,サガケン,11,吉野ヶ里町,ヨシノガリチョウ,33.3516328,130.3982813
41,佐賀県,サガケン,12,基山町,キヤマチョウ,33.4269948,130.5230506
41,佐賀県,サガケン,13,上峰町,カミミネチョウ,33.319638,130.4261594
41,佐賀県,サガケン,14,みやき町,ミヤキチョウ,33.3253697,130.4537068
41,佐賀県,サガケン,15,玄海町,ゲンカイチョウ,33.4721352,129.8748261
41,佐賀県,サガケン,16,有田町,アリタチョウ,33.2106507,129.8490169
41,佐賀県,サガケン,17,大町町,オオマチチョウ,33.2138258,130.1162246
41,佐賀県,サガケン,18,江北町,コウホクマチ,33.2205881,130.1573857
41,佐賀県,サガケン,19,白石町,シロイシチョウ,33.1809913,130.1433886
41,佐賀県,サガケン,20,太良町,タラチョウ,33.0193939,130.179138
