都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
42,長崎県,ナガサキケン,1,長崎市,ナガサキシ,32.7503334,129.8778888
42,長崎県,ナガサキケン,2,佐世保市,サセボシ,33.1804356,129.7157996
42,長崎県,ナガサキケン,3,島原市,シマバラシ,32.7882308,130.3708414
42,長崎県,ナガサキケン,4,諫早市,イサハヤシ,32.8434342,130.0531121
42,長崎県,ナガサキケン,5,大村市,オオムラシ,32.9000257,129.9578634
42,長崎県,ナガサキケン,6,平戸市,ヒラドシ,33.3680242,129.5536778
42,長崎県,ナガサキケン,7,松浦市,マツウラシ,33.3410325,129.7090637
42,長崎県,ナガサキケン,8,対馬市,ツシマシ,34.2027806,129.2875205
42,長崎県,ナガサキケン,9,壱岐市,イキシ,33.7499356,129.6915216
42,長崎県,ナガサキケン,10,五島市,ゴトウシ,32.6954809,128.8409418
42,長崎県,ナガサキケン,11,西海市,サイカイシ,32.9330152,129.6429182
42,長崎県,ナガサキケン,12,雲仙市,ウンゼンシ,32.8352046,130.1874427
42,長崎県,ナガサキケン,13,南島原市,ミナミシマバラシ,32.6598435,130.2978711
42,長崎県,ナガサキケン,14,長与町,ナガヨチョウ,32.8252247,129.8750026
42,長崎県,ナガサキケン,15,時津町,トギツチョウ,32.8288776,129.8485596
42,長崎県,ナガサキケン,16,東彼杵町,ヒガシソノギチョウ,33.0370931,129.9172038
42,長崎県,ナガサキケン,17,川棚町,カワタナチョウ,33.0727189,129.8614819
42,長崎県,ナガサキケン,18,波佐見町,ハサミチョウ,33.1380123,129.8956276
42,長崎県,ナガサキケン,19,小値賀町,オヂカチョウ,33.1910508,129.0589599
42,長崎県,ナガサキケン,20,佐々町,サザチョウ,33.2384406,129.6503634
42,長崎県,ナガサキケン,21,新上五島町,シンカミゴトウチョウ,32.984529,129.0733574
