都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
43,熊本県,クマモトケン,1,熊本市,クマモトシ,32.8032164,130.7079369
43,熊本県,クマモトケン,2,八代市,ヤツシロシ,32.5083376,130.6018162
43,熊本県,クマモトケン,3,人吉市,ヒトヨシシ,32.2167672,130.739758
43,熊本県,クマモトケン,4,荒尾市,アラオシ,32.986737,130.4330435
43,熊本県,クマモトケン,5,水俣市,ミナマタシ,32.2118618,130.4087101
43,熊本県,クマモトケン,6,玉名市,タマナシ,32.9351492,130.5627537
43,熊本県,クマモトケン,7,山鹿市,ヤマガシ,33.0177211,130.6912829
43,熊本県,クマモトケン,8,菊池市,キクチシ,32.9789312,130.8129958
43,熊本県,クマモトケン,9,宇土市,ウトシ,32.6873631,130.6589603
43,熊本県,クマモトケン,10,上天草市,カミアマクサシ,32.5873502,130.4304049
43,熊本県,クマモトケン,11,宇城市,ウキシ,32.6478322,130.6843561
43,熊本県,クマモトケン,12,阿蘇市,アソシ,32.9521207,131.1211959
43,熊本県,クマモトケン,13,天草市,アマクサシ,32.4585255,130.1934363
43,熊本県,クマモトケン,14,合志市,コウシシ,32.8860179,130.7897473
43,熊本県,クマモトケン,15,美里町,ミサトマチ,32.6396899,130.7887699
43,熊本県,クマモトケン,16,玉東町,ギョクトウマチ,32.9182845,130.6288237
43,熊本県,クマモトケン,17,南関町,ナンカンマチ,33.0616259,130.5412074
43,熊本県,クマモトケン,18,長洲町,ナガスマチ,32.9297403,130.4527125
43,熊本県,クマモトケン,19,和水町,ナゴミマチ,32.9780877,130.6058317
43,熊本県,クマモトケン,20,大津町,オオヅマチ,32.8785612,130.8683431
43,熊本県,クマモトケン,21,菊陽町,キクヨウマチ,32.8625445,130.8286809
43,熊本県,クマモトケン,22,南小国町,ミナミオグニマチ,33.0986845,131.0704605
43,熊本県,クマモトケン,23,小国町,オグニマチ,33.1215572,131.0681257
43,熊本県,クマモトケン,24,産山村,ウブヤマムラ,32.995546,131.2168106
43,熊本県,クマモトケン,25,高森町,タカモリマチ,32.8273152,131.1219214
43,熊本県,クマモトケン,26,西原村,ニシハラムラ,32.8346826,130.902916
43,熊本県,クマモトケン,27,南阿蘇村,ミナミアソムラ,32.8451086,131.0177827
43,熊本県,クマモトケン,28,御船町,ミフネマチ,32.7139658,130.802338
43,熊本県,クマモトケン,29,嘉島町,カシママチ,32.7400953,130.75739
43,熊本県,クマモトケン,30,益城町,マシキマチ,32.7913655,130.8163407
43,熊本県,クマモトケン,31,甲佐町,コウサマチ,32.6514763,130.811423
43,熊本県,クマモトケン,32,山都町,ヤマトチョウ,32.6854071,130.9906021
43,熊本県,クマモトケン,33,氷川町,ヒカワチョウ,32.5825004,130.6736844
43,熊本県,クマモトケン,34,芦北町,アシキタマチ,32.2991545,130.4930762
43,熊本県,クマモトケン,35,津奈木町,ツナギマチ,32.233852,130.4395819
43,熊本県,クマモトケン,36,錦町,ニシキマチ,32.2012222,130.841118
43,熊本県,クマモトケン,37,多良木町,タラギマチ,32.2638392,130.935659
43,熊本県,クマモトケン,38,湯前町,ユノマエマチ,32.276183,130.9808998
43,熊本県,クマモトケン,39,水上村,ミズカミムラ,32.3143707,131.0094135
43,熊本県,クマモトケン,40,相良村,サガラムラ,32.2353414,130.7978545
43,熊本県,クマモトケン,41,五木村,イツキムラ,32.3973531,130.8278272
43,熊本県,クマモトケン,42,山江村,ヤマエムラ,32.2468282,130.7667332
43,熊本県,クマモトケン,43,球磨村,クマムラ,32.2523649,130.6512065
43,熊本県,クマモトケン,44,あさぎり町,アサギリチョウ,32.2403837,130.8978829
43,熊本県,クマモトケン,45,苓北町,レイホクマチ,32.5133922,130.0548132
