都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
44,大分県,オオイタケン,1,大分市,オオイタシ,33.2396084,131.6095148
44,大分県,オオイタケン,2,別府市,ベップシ,33.2844614,131.4907093
44,大分県,オオイタケン,3,中津市,ナカツシ,33.5557659,131.2009971
44,大分県,オオイタケン,4,日田市,ヒタシ,33.3206146,130.9404064
44,大分県,オオイタケン,5,佐伯市,サイキシ,32.959827,131.9000563
44,大分県,オオイタケン,6,臼杵市,ウスキシ,33.1260482,131.805109
44,大分県,オオイタケン,7,津久見市,ツクミシ,33.0719855,131.8611407
44,大分県,オオイタケン,8,竹田市,タケタシ,32.9736457,131.3978846
44,大分県,オオイタケン,9,豊後高田市,ブンゴタカダシ,33.5567076,131.4470674
44,大分県,オオイタケン,10,杵築市,キツキシ,33.4169955,131.6161818
44,大分県,オオイタケン,11,宇佐市,ウサシ,33.5319902,131.3496285
44,大分県,オオイタケン,12,豊後大野市,ブンゴオオノシ,32.9783415,131.5843317
44,大分県,オオイタケン,13,由布市,ユフシ,33.1800519,131.4267755
44,大分県,オオイタケン,14,国東市,クニサキシ,33.5632285,131.7319983
44,大分県,オオイタケン,15,姫島村,ヒメシマムラ,33.7244961,131.6453198
44,大分県,オオイタケン,16,日出町,ヒジマチ,33.369216,131.5326365
44,大分県,オオイタケン,17,九重町,ココノエマチ,33.2285239,131.1888843
44,大分県,オオイタケン,18,玖珠町,クスマチ,33.2831156,131.1514722
