都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
45,宮崎県,ミヤザキケン,1,宮崎市,ミヤザキシ,31.9077285,131.4202196
45,宮崎県,ミヤザキケン,2,都城市,ミヤコノジョウシ,31.7195907,131.061559
45,宮崎県,ミヤザキケン,3,延岡市,ノベオカシ,32.5823201,131.6651407
45,宮崎県,ミヤザキケン,4,日南市,ニチナンシ,31.601975,131.3787684
45,宮崎県,ミヤザキケン,5,小林市,コバヤシシ,31.9967791,130.973069
45,宮崎県,ミヤザキケン,6,日向市,ヒュウガシ,32.4225894,131.624414
45,宮崎県,ミヤザキケン,7,串間市,クシマシ,31.4645293,131.2283553
45,宮崎県,ミヤザキケン,8,西都市,サイトシ,32.1085481,131.4013035
45,宮崎県,ミヤザキケン,9,えびの市,エビノシ,32.0454877,130.8109945
45,宮崎県,ミヤザキケン,10,三股町,ミマタチョウ,31.7300096,131.1256688
45,宮崎県,ミヤザキケン,11,高原町,タカハルチョウ,31.9283593,131.0078725
45,宮崎県,ミヤザキケン,12,国富町,クニトミチョウ,31.9906853,131.3235433
45,宮崎県,ミヤザキケン,13,綾町,アヤチョウ,31.9990419,131.2532548
45,宮崎県,ミヤザキケン,14,高鍋町,タカナベチョウ,32.1281612,131.5032675
45,宮崎県,ミヤザキケン,15,新富町,シントミチョウ,32.0689842,131.48801
45,宮崎県,ミヤザキケン,16,西米良村,ニシメラソン,32.2263052,131.1544193
45,宮崎県,ミヤザキケン,17,木城町,キジョウチョウ,32.1645387,131.474266
45,宮崎県,ミヤザキケン,18,川南町,カワミナミチョウ,32.1920256,131.5259067
45,宮崎県,ミヤザキケン,19,都農町,ツノチョウ,32.2561603,131.5591016
45,宮崎県,ミヤザキケン,20,門川町,カドガワチョウ,32.4698011,131.6487172
45,宮崎県,ミヤザキケン,21,諸塚村,モロツカソン,32.5126528,131.3307554
45,宮崎県,ミヤザキケン,22,椎葉村,シイバソン,32.467289,131.1584013
45,宮崎県,ミヤザキケン,23,美郷町,ミサトチョウ,32.4400118,131.422789
45,宮崎県,ミヤザキケン,24,高千穂町,タカチホチョウ,32.7117181,131.3078559
45,宮崎県,ミヤザキケン,25,日之影町,ヒノカゲチョウ,32.6537495,131.3882025
45,宮崎県,ミヤザキケン,26,五ヶ瀬町,ゴカセチョウ,32.6829565,131.1965217
