都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
46,鹿児島県,カゴシマケン,1,鹿児島市,カゴシマシ,31.5968539,130.5571392
46,鹿児島県,カゴシマケン,2,鹿屋市,カノヤシ,31.3782477,130.8522618
46,鹿児島県,カゴシマケン,3,枕崎市,マクラザキシ,31.2728662,130.2966917
46,鹿児島県,カゴシマケン,4,阿久根市,アクネシ,32.0145142,130.1926741
46,鹿児島県,カゴシマケン,5,出水市,イズミシ,32.0903001,130.3531905
46,鹿児島県,カゴシマケン,6,指宿市,イブスキシ,31.2527917,130.6330497
46,鹿児島県,カゴシマケン,7,西之表市,ニシノオモテシ,30.7323202,130.996955
46,鹿児島県,カゴシマケン,8,垂水市,タルミズシ,31.4927791,130.7010327
46,鹿児島県,カゴシマケン,9,薩摩川内市,サツマセンダイシ,31.8132856,130.3034644
46,鹿児島県,カゴシマケン,10,日置市,ヒオキシ,31.6336558,130.4025264
46,鹿児島県,カゴシマケン,11,曽於市,ソオシ,31.6536431,131.0194269
46,鹿児島県,カゴシマケン,12,霧島市,キリシマシ,31.7407317,130.7633282
46,鹿児島県,カゴシマケン,13,いちき串木野市,イチキクシキノシ,31.7145684,130.2720139
46,鹿児島県,カゴシマケン,14,南さつま市,ミナミサツマシ,31.4167019,130.3233185
46,鹿児島県,カゴシマケン,15,志布志市,シブシシ,31.4955583,131.0454228
46,鹿児島県,カゴシマケン,16,奄美市,アマミシ,28.3773699,129.4938065
46,鹿児島県,カゴシマケン,17,南九州市,ミナミキュウシュウシ,31.3782612,130.441621
46,鹿児島県,カゴシマケン,18,伊佐市,イサシ,32.0570092,130.6131107
46,鹿児島県,カゴシマケン,19,姶良市,アイラシ,31.7279778,130.6277691
46,鹿児島県,カゴシマケン,20,三島村,ミシマムラ,30.7803451,130.2801795
46,鹿児島県,カゴシマケン,21,十島村,トシマムラ,29.8378137,129.8535127
46,鹿児島県,カゴシマケン,22,さつま町,サツマチョウ,31.9057599,130.4557274
46,鹿児島県,カゴシマケン,23,長島町,ナガシマチョウ,32.1993626,130.1769905
46,鹿児島県,カゴシマケン,24,湧水町,ユウスイチョウ,31.951674,130.7210772
46,鹿児島県,カゴシマケン,25,大崎町,オオサキチョウ,31.4292305,131.0058638
46,鹿児島県,カゴシマケン,26,東串良町,ヒガシクシラチョウ,31.3857627,130.9737212
46,鹿児島県,カゴシマケン,27,錦江町,キンコウチョウ,31.2435904,130.7875408
46,鹿児島県,カゴシマケン,28,南大隅町,ミナミオオスミチョウ,31.2174252,130.7682648
46,鹿児島県,カゴシマケン,29,肝付町,キモツキチョウ,31.34438,130.9452066
46,鹿児島県,カゴシマケン,30,中種子町,ナカタネチョウ,30.5330005,130.9586835
46,鹿児島県,カゴシマケン,31,南種子町,ミナミタネチョウ,30.4139819,130.9010199
46,鹿児島県,カゴシマケン,32,屋久島町,ヤクシマチョウ,30.3714631,130.6646167
46,鹿児島県,カゴシマケン,33,大和村,ヤマトソン,28.3576096,129.3948364
46,鹿児島県,カゴシマケン,34,宇検村,ウケンソン,28.2807399,129.2973412
46,鹿児島県,カゴシマケン,35,瀬戸内町,セトウチチョウ,28.1464066,129.3148349
46,鹿児島県,カゴシマケン,36,龍郷町,タツゴウチョウ,28.4132672,129.5893686
46,鹿児島県,カゴシマケン,37,喜界町,キカイチョウ,28.3169631,129.9400511
46,鹿児島県,カゴシマケン,38,徳之島町,トクノシマチョウ,27.7267695,129.0188091
46,鹿児島県,カゴシマケン,39,天城町,アマギチョウ,27.8117941,128.8979416
46,鹿児島県,カゴシマケン,40,伊仙町,イセンチョウ,27.6735195,128.9378668
46,鹿児島県,カゴシマケン,41,和泊町,ワドマリチョウ,27.3919048,128.6556155
46,鹿児島県,カゴシマケン,42,知名町,チナチョウ,27.3336317,128.5737285
46,鹿児島県,カゴシマケン,43,与論町,ヨロンチョウ,27.0485366,128.4148345
