都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
47,沖縄県,オキナワケン,1,那覇市,ナハシ,26.2125758,127.6790208
47,沖縄県,オキナワケン,2,宜野湾市,ギノワンシ,26.2815391,127.7785065
47,沖縄県,オキナワケン,3,石垣市,イシガキシ,24.3406856,124.1555837
47,沖縄県,オキナワケン,4,浦添市,ウラソエシ,26.2457804,127.7217156
47,沖縄県,オキナワケン,5,名護市,ナゴシ,26.5915575,127.9775272
47,沖縄県,オキナワケン,6,糸満市,イトマンシ,26.1236704,127.6657634
47,沖縄県,オキナワケン,7,沖縄市,オキナワシ,26.3343533,127.8056058
47,沖縄県,オキナワケン,8,豊見城市,トミグスクシ,26.1610648,127.6689865
47,沖縄県,オキナワケン,9,うるま市,ウルマシ,26.3786847,127.8574931
47,沖縄県,オキナワケン,10,宮古島市,ミヤコジマシ,24.8055336,125.2810637
47,沖縄県,オキナワケン,11,南城市,ナンジョウシ,26.1649735,127.7684511
47,沖縄県,オキナワケン,12,国頭村,クニガミソン,26.7456488,128.1779451
47,沖縄県,オキナワケン,13,大宜味村,オオギミソン,26.7017482,128.1201583
47,沖縄県,オキナワケン,14,東村,ヒガシソン,26.6332139,128.1568878
47,沖縄県,オキナワケン,15,今帰仁村,ナキジンソン,26.6824968,127.9721323
47,沖縄県,オキナワケン,16,本部町,モトブチョウ,26.6575819,127.8977643
47,沖縄県,オキナワケン,17,恩納村,オンナソン,26.4975957,127.8529654
47,沖縄県,オキナワケン,18,宜野座村,ギノザソン,26.4817032,127.9755719
47,沖縄県,オキナワケン,19,金武町,キンチョウ,26.4561898,127.9259867
47,沖縄県,オキナワケン,20,伊江村,イエソン,26.7135406,127.807032
47,沖縄県,オキナワケン,21,読谷村,ヨミタンソン,26.3960774,127.7444117
47,沖縄県,オキナワケン,22,嘉手納町,カデナチョウ,26.3616176,127.7549744
47,沖縄県,オキナワケン,23,北谷町,チヤタンチョウ,26.3201215,127.7637247
47,沖縄県,オキナワケン,24,北中城村,キタナカグスクソン,26.3010778,127.7930651
47,沖縄県,オキナワケン,25,中城村,ナカグスクソン,26.2671905,127.7910006
47,沖縄県,オキナワケン,26,西原町,ニシハラチョウ,26.2228349,127.7588392
47,沖縄県,オキナワケン,27,与那原町,ヨナバルチョウ,26.1995377,127.7549246
47,沖縄県,オキナワケン,28,南風原町,ハエバルチョウ,26.1908561,127.7296187
47,沖縄県,オキナワケン,29,渡嘉敷村,トカシキソン,26.197383,127.364322
47,沖縄県,オキナワケン,30,座間味村,ザマミソン,26.2286041,127.3032561
47,沖縄県,オキナワケン,31,粟国村,アグニソン,26.5824229,127.2276174
47,沖縄県,オキナワケン,32,渡名喜村,トナキソン,26.3721262,127.1410435
47,沖縄県,オキナワケン,33,南大東村,ミナミダイトウソン,25.828778,131.2321399
47,沖縄県,オキナワケン,34,北大東村,キタダイトウソン,25.9459487,131.2989516
47,沖縄県,オキナワケン,35,伊平屋村,イヘヤソン,27.0384936,127.9686378
47,沖縄県,オキナワケン,36,伊是名村,イゼナソン,26.9283447,127.9412073
47,沖縄県,オキナワケン,37,久米島町,クメジマチョウ,26.34051,126.8050422
47,沖縄県,オキナワケン,38,八重瀬町,ヤエセチョウ,26.1551026,127.7211239
47,沖縄県,オキナワケン,39,多良間村,タラマソン,24.6693949,124.701534
47,沖縄県,オキナワケン,40,竹富町,タケトミチョウ,24.2830762,123.8807296
47,沖縄県,オキナワケン,41,与那国町,ヨナグニチョウ,24.4679818,123.0045238
