都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
4,宮城県,ミヤギケン,1,仙台市,センダイシ,38.268195,140.869418
4,宮城県,ミヤギケン,2,石巻市,イシノマキシ,38.434332,141.3028682
4,宮城県,ミヤギケン,3,塩竈市,シオガマシ,38.31437,141.0220608
4,宮城県,ミヤギケン,4,気仙沼市,ケセンヌマシ,38.907641,141.5703316
4,宮城県,ミヤギケン,5,白石市,シロイシシ,38.0022622,140.6199545
4,宮城県,ミヤギケン,6,名取市,ナトリシ,38.1715435,140.8919822
4,宮城県,ミヤギケン,7,角田市,カクダシ,37.977024,140.7818683
4,宮城県,ミヤギケン,8,多賀城市,タガジョウシ,38.2938504,141.0044375
4,宮城県,ミヤギケン,9,岩沼市,イワヌマシ,38.1043106,140.8701987
4,宮城県,ミヤギケン,10,登米市,トメシ,38.6918716,141.1876508
4,宮城県,ミヤギケン,11,栗原市,クリハラシ,38.7300671,141.0213438
4,宮城県,ミヤギケン,12,東松島市,ヒガシマツシマシ,38.4268108,141.2104374
4,宮城県,ミヤギケン,13,大崎市,オオサキシ,38.5770849,140.9556308
4,宮城県,ミヤギケン,14,富谷市,トミヤシ,38.3999673,140.8952018
4,宮城県,ミヤギケン,15,蔵王町,ザオウマチ,38.0980663,140.6587766
4,宮城県,ミヤギケン,16,七ヶ宿町,シチカシュクマチ,37.9932199,140.4417445
4,宮城県,ミヤギケン,17,大河原町,オオガワラマチ,38.0493695,140.7308085
4,宮城県,ミヤギケン,18,村田町,ムラタマチ,38.1185251,140.7224796
4,宮城県,ミヤギケン,19,柴田町,シバタマチ,38.0565346,140.7658363
4,宮城県,ミヤギケン,20,川崎町,カワサキマチ,38.1777217,140.6432336
4,宮城県,ミヤギケン,21,丸森町,マルモリマチ,37.9115173,140.7654231
4,宮城県,ミヤギケン,22,亘理町,ワタリチョウ,38.0378009,140.8525347
4,宮城県,ミヤギケン,23,山元町,ヤマモトチョウ,37.9618037,140.8781785
4,宮城県,ミヤギケン,24,松島町,マツシママチ,38.3801905,141.067293
4,宮城県,ミヤギケン,25,七ヶ浜町,シチガハママチ,38.3044991,141.0590813
4,宮城県,ミヤギケン,26,利府町,リフチョウ,38.3303158,140.9757366
4,宮城県,ミヤギケン,27,大和町,タイワチョウ,38.4371373,140.8861902
4,宮城県,ミヤギケン,28,大郷町,オオサトチョウ,38.4242955,141.0045429
4,宮城県,ミヤギケン,29,大衡村,オオヒラムラ,38.4672424,140.8799845
4,宮城県,ミヤギケン,30,色麻町,シカマチョウ,38.5485332,140.84995
4,宮城県,ミヤギケン,31,加美町,カミマチ,38.5717712,140.8547688
4,宮城県,ミヤギケン,32,涌谷町,ワクヤチョウ,38.5396885,141.1281782
4,宮城県,ミヤギケン,33,美里町,ミサトマチ,38.5443665,141.0567244
4,宮城県,ミヤギケン,34,女川町,オナガワチョウ,38.4411196,141.4443913
4,宮城県,ミヤギケン,35,南三陸町,ミナミサンリクチョウ,38.6808906,141.4625848
