都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
5,秋田県,アキタケン,1,秋田市,アキタシ,39.7199668,140.1034795
5,秋田県,アキタケン,2,能代市,ノシロシ,40.2118632,140.027125
5,秋田県,アキタケン,3,横手市,ヨコテシ,39.3138283,140.5665878
5,秋田県,アキタケン,4,大館市,オオダテシ,40.2714146,140.5641387
5,秋田県,アキタケン,5,男鹿市,オガシ,39.8869086,139.8476079
5,秋田県,アキタケン,6,湯沢市,ユザワシ,39.1643877,140.4957009
5,秋田県,アキタケン,7,鹿角市,カヅノシ,40.2157715,140.7885015
5,秋田県,アキタケン,8,由利本荘市,ユリホンジョウシ,39.3858472,140.048885
5,秋田県,アキタケン,9,潟上市,カタガミシ,39.8572515,140.0130355
5,秋田県,アキタケン,10,大仙市,ダイセンシ,39.453276,140.4754971
5,秋田県,アキタケン,11,北秋田市,キタアキタシ,40.2260484,140.370846
5,秋田県,アキタケン,12,にかほ市,ニカホシ,39.2030128,139.9077246
5,秋田県,アキタケン,13,仙北市,センボクシ,39.7000557,140.7306706
5,秋田県,アキタケン,14,小坂町,コサカマチ,40.3330883,140.7360745
5,秋田県,アキタケン,15,上小阿仁村,カミコアニムラ,40.0637814,140.2962805
5,秋田県,アキタケン,16,藤里町,フジサトマチ,40.2784306,140.2618084
5,秋田県,アキタケン,17,三種町,ミタネチョウ,40.1015687,140.0049679
5,秋田県,アキタケン,18,八峰町,ハッポウチョウ,40.3187181,140.0385939
5,秋田県,アキタケン,19,五城目町,ゴジョウメマチ,39.9438973,140.1115349
5,秋田県,アキタケン,20,八郎潟町,ハチロウガタマチ,39.9493588,140.0733624
5,秋田県,アキタケン,21,井川町,イカワマチ,39.9141724,140.0813114
5,秋田県,アキタケン,22,大潟村,オオガタムラ,40.0183158,139.9605374
5,秋田県,アキタケン,23,美郷町,ミサトチョウ,39.4615423,140.5820818
5,秋田県,アキタケン,24,羽後町,ウゴマチ,39.1996962,140.4122967
5,秋田県,アキタケン,25,東成瀬村,ヒガシナルセムラ,39.1791874,140.6490765
