都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
6,山形県,ヤマガタケン,1,山形市,ヤマガタシ,38.2554153,140.3396175
6,山形県,ヤマガタケン,2,米沢市,ヨネザワシ,37.9223201,140.1167445
6,山形県,ヤマガタケン,3,鶴岡市,ツルオカシ,38.7271972,139.8267422
6,山形県,ヤマガタケン,4,酒田市,サカタシ,38.9147809,139.8366436
6,山形県,ヤマガタケン,5,新庄市,シンジョウシ,38.7650067,140.3016961
6,山形県,ヤマガタケン,6,寒河江市,サガエシ,38.3805369,140.2763569
6,山形県,ヤマガタケン,7,上山市,カミノヤマシ,38.1495569,140.267843
6,山形県,ヤマガタケン,8,村山市,ムラヤマシ,38.4833148,140.3803624
6,山形県,ヤマガタケン,9,長井市,ナガイシ,38.1074728,140.0405256
6,山形県,ヤマガタケン,10,天童市,テンドウシ,38.3619994,140.3770382
6,山形県,ヤマガタケン,11,東根市,ヒガシネシ,38.4313272,140.3909383
6,山形県,ヤマガタケン,12,尾花沢市,オバナザワシ,38.6006855,140.405699
6,山形県,ヤマガタケン,13,南陽市,ナンヨウシ,38.054728,140.1478765
6,山形県,ヤマガタケン,14,山辺町,ヤマノベマチ,38.2895456,140.2624204
6,山形県,ヤマガタケン,15,中山町,ナカヤママチ,38.333152,140.2830195
6,山形県,ヤマガタケン,16,河北町,カホクチョウ,38.4263202,140.314356
6,山形県,ヤマガタケン,17,西川町,ニシカワマチ,38.4264893,140.1473672
6,山形県,ヤマガタケン,18,朝日町,アサヒマチ,38.2992619,140.1458935
6,山形県,ヤマガタケン,19,大江町,オオエマチ,38.3807324,140.2068294
6,山形県,ヤマガタケン,20,大石田町,オオイシダマチ,38.5938623,140.3725996
6,山形県,ヤマガタケン,21,金山町,カネヤママチ,38.8833675,140.3393281
6,山形県,ヤマガタケン,22,最上町,モガミマチ,38.7585382,140.5193265
6,山形県,ヤマガタケン,23,舟形町,フナガタマチ,38.6913482,140.3198772
6,山形県,ヤマガタケン,24,真室川町,マムロガワマチ,38.8577479,140.252441
6,山形県,ヤマガタケン,25,大蔵村,オオクラムラ,38.7041339,140.2305113
6,山形県,ヤマガタケン,26,鮭川村,サケガワムラ,38.7963127,140.2218524
6,山形県,ヤマガタケン,27,戸沢村,トザワムラ,38.7376227,140.143702
6,山形県,ヤマガタケン,28,高畠町,タカハタマチ,38.0027438,140.1892163
6,山形県,ヤマガタケン,29,川西町,カワニシマチ,38.0044319,140.0458594
6,山形県,ヤマガタケン,30,小国町,オグニマチ,38.0615496,139.7433517
6,山形県,ヤマガタケン,31,白鷹町,シラタカマチ,38.1831434,140.0984599
6,山形県,ヤマガタケン,32,飯豊町,イイデマチ,38.0455713,139.9878689
6,山形県,ヤマガタケン,33,三川町,ミカワマチ,38.7945327,139.8496063
6,山形県,ヤマガタケン,34,庄内町,シヨウナイマチ,38.8498797,139.9048849
6,山形県,ヤマガタケン,35,遊佐町,ユザマチ,39.0145659,139.9074169
