都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
7,福島県,フクシマケン,1,福島市,フクシマシ,37.7607991,140.4747855
7,福島県,フクシマケン,2,会津若松市,アイヅワカマツシ,37.4899827,139.9277486
7,福島県,フクシマケン,3,郡山市,コオリヤマシ,37.4004776,140.3596822
7,福島県,フクシマケン,4,いわき市,イワキシ,37.0505055,140.8877435
7,福島県,フクシマケン,5,白河市,シラカワシ,37.1266145,140.211014
7,福島県,フクシマケン,6,須賀川市,スカガワシ,37.2868591,140.3727782
7,福島県,フクシマケン,7,喜多方市,キタカタシ,37.6513048,139.8746281
7,福島県,フクシマケン,8,相馬市,ソウマシ,37.7970426,140.9190868
7,福島県,フクシマケン,9,二本松市,ニホンマツシ,37.5848714,140.4312591
7,福島県,フクシマケン,10,田村市,タムラシ,37.4405664,140.5764032
7,福島県,フクシマケン,11,南相馬市,ミナミソウマシ,37.6422006,140.957261
7,福島県,フクシマケン,12,伊達市,ダテシ,37.8191423,140.5628749
7,福島県,フクシマケン,13,本宮市,モトミヤシ,37.5131387,140.393895
7,福島県,フクシマケン,14,桑折町,コオリマチ,37.8495176,140.5164049
7,福島県,フクシマケン,15,国見町,クニミマチ,37.8768126,140.5494011
7,福島県,フクシマケン,16,川俣町,カワマタマチ,37.6651095,140.5982404
7,福島県,フクシマケン,17,大玉村,オオタマムラ,37.5343552,140.37119
7,福島県,フクシマケン,18,鏡石町,カガミイシマチ,37.2528124,140.3434888
7,福島県,フクシマケン,19,天栄村,テンエイムラ,37.2555749,140.2471971
7,福島県,フクシマケン,20,下郷町,シモゴウマチ,37.2555639,139.8721203
7,福島県,フクシマケン,21,檜枝岐村,ヒノエマタムラ,37.0241499,139.3888872
7,福島県,フクシマケン,22,只見町,タダミマチ,37.3489055,139.3160686
7,福島県,フクシマケン,23,南会津町,ミナミアイヅマチ,37.2004645,139.7738212
7,福島県,フクシマケン,24,北塩原村,キタシオバラムラ,37.6557471,139.9375554
7,福島県,フクシマケン,25,西会津町,ニシアイヅマチ,37.5894377,139.64761
7,福島県,フクシマケン,26,磐梯町,バンダイマチ,37.56212,139.9887373
7,福島県,フクシマケン,27,猪苗代町,イナワシロマチ,37.5577638,140.1048394
7,福島県,フクシマケン,28,会津坂下町,アイヅバンゲマチ,37.5615051,139.8217746
7,福島県,フクシマケン,29,湯川村,ユガワムラ,37.5654249,139.8866666
7,福島県,フクシマケン,30,柳津町,ヤナイヅマチ,37.5279859,139.7224492
7,福島県,フクシマケン,31,三島町,ミシママチ,37.4703464,139.6441251
7,福島県,フクシマケン,32,金山町,カネヤママチ,37.4538013,139.5243047
7,福島県,フクシマケン,33,昭和村,ショウワムラ,37.3356369,139.6109747
7,福島県,フクシマケン,34,会津美里町,アイヅミサトマチ,37.4598427,139.8411652
7,福島県,フクシマケン,35,西郷村,ニシゴウムラ,37.1417791,140.1553883
7,福島県,フクシマケン,36,泉崎村,イズミザキムラ,37.1537183,140.3019717
7,福島県,フクシマケン,37,中島村,ナカジマムラ,37.1489211,140.3502201
7,福島県,フクシマケン,38,矢吹町,ヤブキマチ,37.2012467,140.338474
7,福島県,フクシマケン,39,棚倉町,タナグラマチ,37.0299581,140.3796351
7,福島県,フクシマケン,40,矢祭町,ヤマツリマチ,36.8713755,140.4247731
7,福島県,フクシマケン,41,塙町,ハナワマチ,36.9573565,140.4095277
7,福島県,フクシマケン,42,鮫川村,サメガワムラ,37.0424504,140.5097361
7,福島県,フクシマケン,43,石川町,イシカワマチ,37.1570925,140.446949
7,福島県,フクシマケン,44,玉川村,タマカワムラ,37.2107581,140.4087742
7,福島県,フクシマケン,45,平田村,ヒラタムラ,37.2217789,140.5757391
7,福島県,フクシマケン,46,浅川町,アサカワマチ,37.0810154,140.4128129
7,福島県,フクシマケン,47,古殿町,フルドノマチ,37.0895763,140.5560328
7,福島県,フクシマケン,48,三春町,ミハルマチ,37.4410239,140.4925727
7,福島県,フクシマケン,49,小野町,オノマチ,37.2869196,140.6262529
7,福島県,フクシマケン,50,広野町,ヒロノマチ,37.2144636,140.994563
7,福島県,フクシマケン,51,楢葉町,ナラハマチ,37.2826725,140.9935473
7,福島県,フクシマケン,52,富岡町,トミオカマチ,37.345317,141.0088172
7,福島県,フクシマケン,53,川内村,カワウチムラ,37.3376418,140.8093493
7,福島県,フクシマケン,54,大熊町,オオクママチ,37.4044537,140.9834485
7,福島県,フクシマケン,55,双葉町,フタバマチ,37.4491537,141.0123662
7,福島県,フクシマケン,56,浪江町,ナミエマチ,37.4954732,141.0017195
7,福島県,フクシマケン,57,葛尾村,カツラオムラ,37.5033891,140.7643658
7,福島県,フクシマケン,58,新地町,シンチマチ,37.8760601,140.9195783
7,福島県,フクシマケン,59,飯舘村,イイタテムラ,37.6782808,140.7359908
