都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
8,茨城県,イバラキケン,1,水戸市,ミトシ,36.3658764,140.4713723
8,茨城県,イバラキケン,2,日立市,ヒタチシ,36.5991273,140.6504712
8,茨城県,イバラキケン,3,土浦市,ツチウラシ,36.0783182,140.2042457
8,茨城県,イバラキケン,4,古河市,コガシ,36.1787948,139.7557348
8,茨城県,イバラキケン,5,石岡市,イシオカシ,36.1947889,140.2888599
8,茨城県,イバラキケン,6,結城市,ユウキシ,36.3054444,139.8765754
8,茨城県,イバラキケン,7,龍ケ崎市,リュウガサキシ,35.9116106,140.1823263
8,茨城県,イバラキケン,8,下妻市,シモツマシ,36.1843331,139.9673895
8,茨城県,イバラキケン,9,常総市,ジョウソウシ,36.0235412,139.9936327
8,茨城県,イバラキケン,10,常陸太田市,ヒタチオオタシ,36.5382486,140.5307574
8,茨城県,イバラキケン,11,高萩市,タカハギシ,36.7191132,140.7167862
8,茨城県,イバラキケン,12,北茨城市,キタイバラキシ,36.801915,140.7510448
8,茨城県,イバラキケン,13,笠間市,カサマシ,36.3452638,140.3043225
8,茨城県,イバラキケン,14,取手市,トリデシ,35.9114223,140.0503534
8,茨城県,イバラキケン,15,牛久市,ウシクシ,35.9793964,140.14955
8,茨城県,イバラキケン,16,つくば市,ツクバシ,36.0835255,140.0764454
8,茨城県,イバラキケン,17,ひたちなか市,ヒタチナカシ,36.3966506,140.5347934
8,茨城県,イバラキケン,18,鹿嶋市,カシマシ,35.9656835,140.6447937
8,茨城県,イバラキケン,19,潮来市,イタコシ,35.9471219,140.5554095
8,茨城県,イバラキケン,20,守谷市,モリヤシ,35.9515333,139.975572
8,茨城県,イバラキケン,21,常陸大宮市,ヒタチオオミヤシ,36.542574,140.4109329
8,茨城県,イバラキケン,22,那珂市,ナカシ,36.4574235,140.4867341
8,茨城県,イバラキケン,23,筑西市,チクセイシ,36.3052343,139.9794265
8,茨城県,イバラキケン,24,坂東市,バンドウシ,36.0481449,139.8889307
8,茨城県,イバラキケン,25,稲敷市,イナシキシ,35.972942,140.3036823
8,茨城県,イバラキケン,26,かすみがうら市,カスミガウラシ,36.0942581,140.3307847
8,茨城県,イバラキケン,27,桜川市,サクラガワシ,36.3272852,140.0905418
8,茨城県,イバラキケン,28,神栖市,カミスシ,35.8898314,140.6647405
8,茨城県,イバラキケン,29,行方市,ナメガタシ,35.9906251,140.4889866
8,茨城県,イバラキケン,30,鉾田市,ホコタシ,36.1586434,140.5164858
8,茨城県,イバラキケン,31,つくばみらい市,ツクバミライシ,35.9632377,140.0363852
8,茨城県,イバラキケン,32,小美玉市,オミタマシ,36.239317,140.3526411
8,茨城県,イバラキケン,33,茨城町,イバラキマチ,36.2869435,140.4245362
8,茨城県,イバラキケン,34,大洗町,オオアライマチ,36.3133985,140.5748789
8,茨城県,イバラキケン,35,城里町,シロサトマチ,36.4794764,140.375928
8,茨城県,イバラキケン,36,東海村,トウカイムラ,36.4729507,140.5661634
8,茨城県,イバラキケン,37,大子町,ダイゴマチ,36.7680855,140.3552161
8,茨城県,イバラキケン,38,美浦村,ミホムラ,36.0046011,140.3019858
8,茨城県,イバラキケン,39,阿見町,アミマチ,36.0308171,140.2147944
8,茨城県,イバラキケン,40,河内町,カワチマチ,35.8847563,140.24452
8,茨城県,イバラキケン,41,八千代町,ヤチヨマチ,36.1816174,139.8912133
8,茨城県,イバラキケン,42,五霞町,ゴカマチ,36.1139782,139.7459313
8,茨城県,イバラキケン,43,境町,サカイマチ,36.1084158,139.7950318
8,茨城県,イバラキケン,44,利根町,トネマチ,35.8577836,140.1391657
