都道府県コード,都道府県名_漢字,都道府県名_カナ,市区町村コード,市区町村名_漢字,市区町村名_カナ,緯度,経度
9,栃木県,トチギケン,1,宇都宮市,ウツノミヤシ,36.5550745,139.8826209
9,栃木県,トチギケン,2,足利市,アシカガシ,36.3401874,139.4497602
9,栃木県,トチギケン,3,栃木市,トチギシ,36.3823772,139.7341396
9,栃木県,トチギケン,4,佐野市,サノシ,36.3143908,139.5783915
9,栃木県,トチギケン,5,鹿沼市,カヌマシ,36.5669696,139.7450679
9,栃木県,トチギケン,6,日光市,ニッコウシ,36.7198987,139.6982361
9,栃木県,トチギケン,7,小山市,オヤマシ,36.3146653,139.8001493
9,栃木県,トチギケン,8,真岡市,モオカシ,36.4404432,140.0133686
9,栃木県,トチギケン,9,大田原市,オオタワラシ,36.8712697,140.0153213
9,栃木県,トチギケン,10,矢板市,ヤイタシ,36.806741,139.9241602
9,栃木県,トチギケン,11,那須塩原市,ナスシオバラシ,36.9616857,140.0460727
9,栃木県,トチギケン,12,さくら市,サクラシ,36.6853883,139.9664416
9,栃木県,トチギケン,13,那須烏山市,ナスカラスヤマシ,36.6569328,140.1517676
9,栃木県,トチギケン,14,下野市,シモツケシ,36.3952201,139.8519657
9,栃木県,トチギケン,15,上三川町,カミノカワマチ,36.4393763,139.9099658
9,栃木県,トチギケン,16,益子町,マシコマチ,36.4674082,140.0933317
9,栃木県,トチギケン,17,茂木町,モテギマチ,36.5321501,140.1875333
9,栃木県,トチギケン,18,市貝町,イチカイマチ,36.5432265,140.102137
9,栃木県,トチギケン,19,芳賀町,ハガマチ,36.5482624,140.0582258
9,栃木県,トチギケン,20,壬生町,ミブマチ,36.4270691,139.8039516
9,栃木県,トチギケン,21,野木町,ノギマチ,36.2332127,139.7408522
9,栃木県,トチギケン,22,塩谷町,シオヤマチ,36.777607,139.8504473
9,栃木県,トチギケン,23,高根沢町,タカネザワマチ,36.6310165,139.9866388
9,栃木県,トチギケン,24,那須町,ナスマチ,37.0197825,140.1209869
9,栃木県,トチギケン,25,那珂川町,ナカガワマチ,36.7363034,140.1727178
